State 	 Left 	 Up 	 Right 	 Down 
( 0,  0) 	 -1.047500 	 -0.782295 	 0.000000 	 7.257061 
( 0,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  3) 	 0.000000 	 0.000000 	 7.776403 	 0.000000 
( 0,  4) 	 0.000000 	 0.000000 	 8.407884 	 0.000000 
( 0,  5) 	 0.000000 	 0.000000 	 15.585405 	 0.000000 
( 0,  6) 	 0.000000 	 0.000000 	 15.856208 	 0.000000 
( 0,  7) 	 0.000000 	 0.000000 	 13.815041 	 1.013232 
( 0,  8) 	 0.000000 	 -0.499631 	 0.000000 	 13.453350 
( 0,  9) 	 -0.269668 	 -0.621466 	 -0.621802 	 4.386173 
( 1,  0) 	 0.689028 	 0.000000 	 1.764564 	 4.197601 
( 1,  1) 	 0.000000 	 0.000000 	 7.294976 	 0.000000 
( 1,  2) 	 0.000000 	 0.000000 	 7.478362 	 0.000000 
( 1,  3) 	 0.000000 	 2.083851 	 7.778464 	 0.000000 
( 1,  4) 	 0.000000 	 0.000000 	 7.832045 	 0.000000 
( 1,  5) 	 0.000000 	 8.622847 	 0.000000 	 0.000000 
( 1,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  7) 	 0.000000 	 0.000000 	 6.014574 	 0.000000 
( 1,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  9) 	 12.431238 	 0.136040 	 0.000000 	 0.000000 
( 2,  0) 	 0.000000 	 0.000000 	 0.000000 	 3.804915 
( 2,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  3) 	 0.000000 	 4.516359 	 0.000000 	 0.000000 
( 2,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  5) 	 0.000000 	 -0.314767 	 0.000000 	 0.000000 
( 2,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  7) 	 0.000000 	 0.000000 	 4.387275 	 0.000000 
( 2,  8) 	 0.000000 	 16.770889 	 0.000000 	 0.000000 
( 2,  9) 	 0.000000 	 13.487034 	 0.000000 	 0.000000 
( 3,  0) 	 0.000000 	 0.000000 	 0.000000 	 3.957149 
( 3,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  3) 	 0.000000 	 2.015803 	 7.315133 	 0.000000 
( 3,  4) 	 0.000000 	 0.000000 	 8.142920 	 0.000000 
( 3,  5) 	 0.000000 	 -0.121097 	 9.031130 	 0.000000 
( 3,  6) 	 2.256583 	 0.000000 	 11.672455 	 0.000000 
( 3,  7) 	 0.000000 	 0.013936 	 12.165196 	 0.000000 
( 3,  8) 	 5.622527 	 15.827068 	 0.000000 	 0.000000 
( 3,  9) 	 7.300403 	 13.783089 	 2.678203 	 3.205521 
( 4,  0) 	 -0.770503 	 -0.544107 	 0.000000 	 4.127664 
( 4,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  2) 	 0.000000 	 0.000000 	 3.069886 	 0.000000 
( 4,  3) 	 0.000000 	 11.508734 	 0.208649 	 0.000000 
( 4,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  6) 	 0.000000 	 8.484816 	 0.000000 	 0.000000 
( 4,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  9) 	 0.000000 	 15.425995 	 0.000000 	 0.000000 
( 5,  0) 	 0.000000 	 0.000000 	 0.000000 	 4.316662 
( 5,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 5,  2) 	 0.000000 	 1.407381 	 0.000000 	 0.000000 
( 5,  3) 	 0.000000 	 9.553929 	 0.000000 	 0.000000 
( 5,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 5,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 5,  6) 	 0.000000 	 8.154059 	 0.000000 	 -0.601286 
( 5,  7) 	 0.000000 	 -0.363323 	 -0.245348 	 0.000000 
( 5,  8) 	 0.000000 	 0.000000 	 8.632609 	 0.000000 
( 5,  9) 	 0.000000 	 15.344657 	 3.482726 	 0.000000 
( 6,  0) 	 0.000000 	 0.000000 	 0.000000 	 4.525004 
( 6,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  2) 	 0.000000 	 1.407683 	 0.000000 	 0.000000 
( 6,  3) 	 0.000000 	 8.920290 	 0.000000 	 0.000000 
( 6,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
