State 	 Left 	 Up 	 Right 	 Down 
( 0,  0) 	 0.000000 	 -1.126914 	 0.000000 	 4.787348 
( 0,  1) 	 0.000000 	 0.000000 	 0.000000 	 -0.059121 
( 0,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  0) 	 0.000000 	 0.000000 	 0.877292 	 3.467579 
( 1,  1) 	 -0.324231 	 -0.218833 	 1.834221 	 0.000000 
( 1,  2) 	 0.000000 	 0.000000 	 1.013567 	 0.000000 
( 1,  3) 	 0.000000 	 0.000000 	 0.000000 	 1.000000 
( 1,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  7) 	 0.000000 	 0.000000 	 11.734627 	 0.000000 
( 1,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  9) 	 13.763302 	 0.000000 	 0.000000 	 0.000000 
( 2,  0) 	 0.000000 	 0.000000 	 0.000000 	 3.358954 
( 2,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  3) 	 0.000000 	 0.000000 	 0.000000 	 1.135213 
( 2,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  7) 	 0.000000 	 10.912322 	 0.000000 	 0.000000 
( 2,  8) 	 0.000000 	 6.419338 	 0.000000 	 -0.000000 
( 2,  9) 	 -0.095640 	 13.568765 	 0.000000 	 0.000000 
( 3,  0) 	 0.000000 	 0.000000 	 0.000000 	 3.500928 
( 3,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  3) 	 -0.500000 	 -0.000198 	 0.000000 	 1.429662 
( 3,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  6) 	 0.000000 	 0.000000 	 12.396485 	 0.000000 
( 3,  7) 	 0.000000 	 9.956065 	 2.857563 	 2.332747 
( 3,  8) 	 3.526353 	 1.407079 	 0.000000 	 0.000000 
( 3,  9) 	 0.000000 	 13.219857 	 2.361165 	 0.000000 
( 4,  0) 	 -1.065999 	 0.000000 	 0.000000 	 3.395750 
( 4,  1) 	 0.000000 	 0.000000 	 -0.272399 	 0.000000 
( 4,  2) 	 -0.067415 	 0.107217 	 0.750397 	 -0.436233 
( 4,  3) 	 -0.010088 	 -0.000000 	 -0.500302 	 3.005145 
( 4,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  6) 	 0.000000 	 12.404756 	 0.000000 	 0.000000 
( 4,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  9) 	 0.000000 	 12.186808 	 1.922596 	 0.000000 
( 5,  0) 	 0.000000 	 0.000000 	 6.032648 	 0.000000 
( 5,  1) 	 0.000000 	 0.000000 	 6.152424 	 0.000000 
( 5,  2) 	 0.000000 	 -0.000604 	 0.853433 	 6.260906 
( 5,  3) 	 1.541673 	 -0.000302 	 0.878869 	 0.000000 
( 5,  4) 	 0.000000 	 0.000000 	 1.012930 	 0.000000 
( 5,  5) 	 0.000000 	 0.000000 	 3.645372 	 0.000000 
( 5,  6) 	 0.000000 	 12.122000 	 0.000000 	 3.190280 
( 5,  7) 	 6.887968 	 0.000000 	 0.000000 	 0.000000 
( 5,  8) 	 1.013232 	 -0.413568 	 2.496208 	 -0.061203 
( 5,  9) 	 2.062091 	 11.714889 	 0.000000 	 0.000000 
( 6,  0) 	 0.000000 	 4.171314 	 0.000000 	 0.000000 
( 6,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  2) 	 0.000000 	 0.000000 	 0.000335 	 6.951358 
( 6,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.136006 
( 6,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  6) 	 0.000000 	 7.409302 	 0.000000 	 3.042545 
( 6,  7) 	 0.000000 	 0.000000 	 0.000000 	 -0.500302 
( 6,  8) 	 0.000000 	 2.225938 	 0.000000 	 0.000000 
( 6,  9) 	 0.000000 	 13.166177 	 0.000000 	 0.000000 
( 7,  0) 	 0.000000 	 4.213151 	 0.000000 	 0.000000 
( 7,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 7,  2) 	 0.000000 	 0.000000 	 0.000000 	 7.113858 
( 7,  3) 	 0.281828 	 0.000000 	 0.000000 	 0.000000 
( 7,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 7,  5) 	 0.000000 	 0.000000 	 5.681815 	 0.000000 
( 7,  6) 	 0.000000 	 6.509585 	 0.000000 	 0.890558 
( 7,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 7,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 7,  9) 	 0.000000 	 12.908151 	 0.000000 	 0.000000 
( 8,  0) 	 0.000000 	 3.741430 	 0.075693 	 0.000000 
( 8,  1) 	 3.309215 	 0.000000 	 0.000000 	 0.000000 
( 8,  2) 	 0.000000 	 0.000000 	 0.000000 	 6.747765 
( 8,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 8,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 8,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 8,  6) 	 0.000000 	 0.000000 	 1.271442 	 0.000000 
( 8,  7) 	 0.000000 	 0.000000 	 1.041037 	 0.000000 
( 8,  8) 	 0.000000 	 0.000000 	 3.538797 	 0.000000 
( 8,  9) 	 0.000000 	 12.211305 	 0.000000 	 0.000000 
( 9,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 9,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 9,  2) 	 0.000000 	 0.000000 	 6.935169 	 0.000000 
( 9,  3) 	 0.000000 	 0.000000 	 7.679676 	 0.000000 
( 9,  4) 	 1.380894 	 0.000000 	 7.839316 	 0.000000 
( 9,  5) 	 0.000000 	 0.000000 	 8.085563 	 0.000000 
( 9,  6) 	 0.000000 	 0.000000 	 8.456949 	 1.261269 
( 9,  7) 	 0.000000 	 0.000000 	 8.788786 	 0.000000 
( 9,  8) 	 -0.104922 	 0.000000 	 8.618846 	 0.000000 
( 9,  9) 	 0.000000 	 9.060131 	 3.221967 	 0.000000 
