State 	 Left 	 Up 	 Right 	 Down 
( 0,  0) 	 0.000000 	 0.000000 	 5.242199 	 0.000000 
( 0,  1) 	 0.000000 	 0.000000 	 0.000000 	 5.724825 
( 0,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  5) 	 0.000000 	 0.000000 	 7.035986 	 0.000000 
( 0,  6) 	 0.000000 	 0.000000 	 8.174730 	 0.000000 
( 0,  7) 	 0.000000 	 1.117924 	 9.584962 	 0.000000 
( 0,  8) 	 0.000000 	 0.000000 	 0.000000 	 10.990492 
( 0,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  1) 	 0.000000 	 0.000000 	 1.000034 	 4.539034 
( 1,  2) 	 0.000000 	 0.000000 	 1.135335 	 0.000000 
( 1,  3) 	 0.000000 	 0.000000 	 3.118701 	 0.000000 
( 1,  4) 	 0.000000 	 0.000000 	 3.292777 	 0.000000 
( 1,  5) 	 0.000000 	 6.021611 	 0.000000 	 0.000000 
( 1,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  7) 	 0.000000 	 0.000000 	 6.283969 	 0.000000 
( 1,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  9) 	 5.878198 	 0.000000 	 0.000000 	 0.000000 
( 2,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.013903 
( 2,  1) 	 -0.122406 	 0.000000 	 0.000000 	 4.595986 
( 2,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  3) 	 0.000000 	 -0.632854 	 0.271677 	 0.000000 
( 2,  4) 	 -0.024451 	 0.000000 	 0.522009 	 0.000000 
( 2,  5) 	 0.000000 	 2.866284 	 -0.499933 	 0.000000 
( 2,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  7) 	 0.000000 	 1.812716 	 10.087252 	 0.000000 
( 2,  8) 	 0.000000 	 16.372135 	 0.000000 	 0.000000 
( 2,  9) 	 0.000000 	 1.148936 	 0.000000 	 0.000000 
( 3,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.135671 
( 3,  1) 	 0.000000 	 0.000000 	 0.000000 	 4.703454 
( 3,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  3) 	 -0.915517 	 -0.512611 	 11.158863 	 0.000000 
( 3,  4) 	 -0.741871 	 0.000369 	 11.935510 	 0.000000 
( 3,  5) 	 -0.600915 	 -0.404610 	 12.723878 	 -0.000000 
( 3,  6) 	 -0.327734 	 -1.614329 	 16.268539 	 0.000000 
( 3,  7) 	 0.000000 	 8.074109 	 11.325110 	 0.000000 
( 3,  8) 	 0.000000 	 12.476441 	 0.000000 	 2.808147 
( 3,  9) 	 0.000000 	 1.271341 	 -0.500000 	 -0.405000 
( 4,  0) 	 0.000000 	 0.000000 	 -0.490942 	 0.000000 
( 4,  1) 	 0.000000 	 0.000000 	 5.159135 	 0.000000 
( 4,  2) 	 0.000000 	 0.000000 	 5.594053 	 0.000000 
( 4,  3) 	 0.000000 	 10.671190 	 0.000000 	 0.000000 
