State 	 Left 	 Up 	 Right 	 Down 
( 0,  0) 	 0.000000 	 0.000000 	 2.923771 	 7.930662 
( 0,  1) 	 0.245538 	 0.000000 	 -0.545487 	 9.816163 
( 0,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  3) 	 0.000000 	 0.000000 	 13.118803 	 3.250045 
( 0,  4) 	 2.342897 	 0.000000 	 14.692510 	 0.000000 
( 0,  5) 	 0.000000 	 3.744517 	 16.428777 	 0.000000 
( 0,  6) 	 0.000000 	 3.290907 	 15.617929 	 4.898737 
( 0,  7) 	 0.000000 	 0.000000 	 15.892911 	 0.000000 
( 0,  8) 	 0.000000 	 3.854502 	 6.163744 	 13.643658 
( 0,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  0) 	 0.000000 	 0.000000 	 9.330516 	 0.000000 
( 1,  1) 	 0.000000 	 -0.121466 	 13.766809 	 0.000000 
( 1,  2) 	 0.000000 	 0.000000 	 14.419113 	 0.000000 
( 1,  3) 	 0.000000 	 12.225269 	 1.612245 	 0.000000 
( 1,  4) 	 0.000000 	 0.000000 	 5.915499 	 0.000000 
( 1,  5) 	 0.000000 	 7.825374 	 0.000000 	 0.000000 
( 1,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  7) 	 3.670732 	 0.000000 	 5.148969 	 -0.061257 
( 1,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  9) 	 12.785186 	 0.000000 	 0.000000 	 0.000000 
( 2,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  7) 	 -0.553011 	 3.153097 	 0.000000 	 0.000000 
( 2,  8) 	 0.000000 	 12.603232 	 6.013299 	 3.915573 
( 2,  9) 	 4.358587 	 10.928118 	 -0.500000 	 -0.061052 
( 3,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  3) 	 0.000000 	 0.000000 	 0.878265 	 0.000000 
( 3,  4) 	 0.000000 	 0.000000 	 0.891799 	 0.000000 
( 3,  5) 	 0.000000 	 0.000000 	 4.397910 	 0.000000 
( 3,  6) 	 0.000000 	 -1.046494 	 11.797372 	 0.000000 
( 3,  7) 	 0.000000 	 0.407348 	 12.557250 	 0.000000 
( 3,  8) 	 0.000000 	 11.648495 	 5.551359 	 0.000000 
( 3,  9) 	 0.000000 	 13.807369 	 0.000000 	 0.000000 
( 4,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  2) 	 0.000000 	 0.000000 	 0.999698 	 0.000000 
( 4,  3) 	 0.000000 	 1.000336 	 0.000000 	 0.000000 
( 4,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  5) 	 0.000000 	 0.000000 	 3.096371 	 0.000000 
( 4,  6) 	 0.000000 	 9.373319 	 0.000000 	 2.526726 
( 4,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  9) 	 -0.500302 	 13.347505 	 -0.500000 	 -0.000000 
( 5,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 5,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 5,  2) 	 0.000000 	 1.013567 	 0.000000 	 0.000000 
( 5,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 5,  4) 	 0.000000 	 0.000000 	 1.908555 	 0.000000 
( 5,  5) 	 1.544770 	 2.656426 	 0.000000 	 0.000000 
( 5,  6) 	 0.000000 	 10.485069 	 0.878383 	 0.000000 
( 5,  7) 	 0.000000 	 -0.363994 	 4.868145 	 -0.000000 
( 5,  8) 	 -0.295137 	 -0.499329 	 4.755857 	 -0.042066 
( 5,  9) 	 0.000000 	 13.190940 	 -0.500000 	 -0.014861 
( 6,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  2) 	 0.000000 	 1.136006 	 0.000000 	 0.000000 
( 6,  3) 	 0.000000 	 0.000000 	 0.136006 	 0.000000 
( 6,  4) 	 0.000000 	 -0.000201 	 0.000000 	 0.000000 
( 6,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  6) 	 1.878322 	 10.700362 	 1.947918 	 0.000000 
( 6,  7) 	 0.000000 	 0.136006 	 7.909023 	 -0.500000 
( 6,  8) 	 -0.002971 	 -0.009705 	 7.849227 	 0.227070 
( 6,  9) 	 0.014633 	 8.236684 	 -0.500000 	 -0.405000 
( 7,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 7,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 7,  2) 	 0.000000 	 1.148567 	 6.281098 	 0.000000 
( 7,  3) 	 0.000000 	 0.013936 	 7.048210 	 0.000000 
( 7,  4) 	 0.000000 	 0.000000 	 8.151573 	 0.000000 
( 7,  5) 	 0.000000 	 0.000000 	 12.577414 	 0.000000 
( 7,  6) 	 2.910238 	 13.203545 	 0.000000 	 0.000000 
( 7,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 7,  8) 	 0.000000 	 0.263441 	 0.000000 	 0.000000 
( 7,  9) 	 0.000272 	 0.000000 	 -0.500000 	 0.000000 
( 8,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 8,  1) 	 0.000000 	 0.000000 	 7.206915 	 0.000000 
( 8,  2) 	 2.058791 	 7.829045 	 0.000000 	 -0.000906 
( 8,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 8,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 8,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 8,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
