State 	 Left 	 Up 	 Right 	 Down 
( 0,  0) 	 -6.00 	 -0.00 	 -0.00 	 -6.81 
( 0,  1) 	 -0.81 	 -0.00 	 -0.00 	 -0.81 
( 0,  2) 	 -0.00 	 -0.00 	 -0.27 	 -0.00 
( 0,  3) 	 -0.00 	 -0.27 	 -2.82 	 -0.00 
( 0,  4) 	 -0.00 	 -0.27 	 -5.36 	 -0.00 
( 0,  5) 	 -0.00 	 -0.27 	 -7.36 	 -0.00 
( 0,  6) 	 -0.00 	 -0.00 	 -8.17 	 -0.00 
( 0,  7) 	 -0.54 	 -0.00 	 -10.81 	 -0.81 
( 0,  8) 	 -4.00 	 -0.00 	 -1.36 	 -6.00 
( 0,  9) 	 -1.08 	 -0.00 	 -0.00 	 -0.81 
( 1,  0) 	 -0.81 	 -0.00 	 -0.00 	 -7.63 
( 1,  1) 	 -0.00 	 -0.00 	 -0.00 	 -0.82 
( 1,  2) 	 -0.00 	 -0.27 	 -0.27 	 -0.00 
( 1,  3) 	 -0.00 	 -2.82 	 -2.81 	 -0.00 
( 1,  4) 	 -0.00 	 -2.81 	 -2.82 	 -0.00 
( 1,  5) 	 -0.00 	 -2.27 	 -1.09 	 -0.00 
( 1,  6) 	 -0.00 	 -0.27 	 -0.82 	 -0.00 
( 1,  7) 	 -0.00 	 -0.00 	 -1.36 	 -0.00 
( 1,  8) 	 -1.08 	 -0.82 	 -0.00 	 -0.81 
( 1,  9) 	 -4.00 	 -0.54 	 -0.00 	 -0.00 
( 2,  0) 	 -0.00 	 -0.00 	 -0.00 	 -7.63 
( 2,  1) 	 -0.00 	 -0.00 	 -0.00 	 -0.82 
( 2,  2) 	 -0.00 	 -0.54 	 -0.27 	 -0.00 
( 2,  3) 	 -0.00 	 -5.36 	 -2.27 	 -0.00 
( 2,  4) 	 -0.00 	 -2.82 	 -0.54 	 -0.00 
( 2,  5) 	 -0.00 	 -0.54 	 -0.28 	 -0.00 
( 2,  6) 	 -0.00 	 -0.00 	 -0.82 	 -0.00 
( 2,  7) 	 -0.00 	 -0.82 	 -0.82 	 -0.00 
( 2,  8) 	 -0.00 	 -7.35 	 -0.00 	 -0.00 
( 2,  9) 	 -0.54 	 -5.36 	 -0.00 	 -0.00 
( 3,  0) 	 -0.00 	 -0.00 	 -0.54 	 -7.09 
( 3,  1) 	 -0.00 	 -0.00 	 -0.27 	 -1.09 
( 3,  2) 	 -0.00 	 -0.82 	 -0.27 	 -0.00 
( 3,  3) 	 -0.00 	 -7.36 	 -0.27 	 -0.00 
( 3,  4) 	 -0.00 	 -1.09 	 -0.27 	 -0.00 
( 3,  5) 	 -0.00 	 -0.28 	 -2.81 	 -0.00 
( 3,  6) 	 -0.27 	 -0.55 	 -7.08 	 -0.00 
( 3,  7) 	 -0.00 	 -0.82 	 -6.81 	 -0.00 
( 3,  8) 	 -0.00 	 -7.36 	 -0.81 	 -0.00 
( 3,  9) 	 -0.00 	 -5.90 	 -0.00 	 -0.00 
( 4,  0) 	 -0.00 	 -0.00 	 -4.54 	 -3.08 
( 4,  1) 	 -0.00 	 -0.00 	 -3.36 	 -2.27 
( 4,  2) 	 -0.00 	 -0.82 	 -3.09 	 -0.27 
( 4,  3) 	 -0.27 	 -7.36 	 -0.27 	 -0.27 
( 4,  4) 	 -0.00 	 -1.09 	 -0.00 	 -0.00 
( 4,  5) 	 -0.27 	 -2.55 	 -0.27 	 -0.00 
( 4,  6) 	 -2.00 	 -5.08 	 -0.81 	 -0.00 
( 4,  7) 	 -0.27 	 -0.55 	 -0.81 	 -0.00 
( 4,  8) 	 -0.00 	 -1.36 	 -0.00 	 -0.00 
( 4,  9) 	 -0.00 	 -5.09 	 -0.00 	 -0.00 
( 5,  0) 	 -0.00 	 -0.00 	 -3.09 	 -0.27 
