State 	 Left 	 Up 	 Right 	 Down 
( 0,  0) 	 -0.788659 	 0.000000 	 0.000000 	 0.878198 
( 0,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  3) 	 0.000000 	 0.000000 	 0.000000 	 -0.000000 
( 0,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  5) 	 0.000000 	 -0.500000 	 1.000335 	 -0.903988 
( 0,  6) 	 0.000000 	 0.000000 	 1.135335 	 0.000000 
( 0,  7) 	 0.000000 	 0.000000 	 6.784510 	 0.000000 
( 0,  8) 	 5.064952 	 0.000000 	 0.000000 	 5.878198 
( 0,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  0) 	 0.000000 	 0.000000 	 0.000000 	 1.013232 
( 1,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  3) 	 -0.000302 	 -0.000000 	 0.000000 	 0.000000 
( 1,  4) 	 -0.000245 	 0.000000 	 0.878232 	 0.000000 
( 1,  5) 	 0.000000 	 0.431720 	 0.000000 	 0.000000 
( 1,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  9) 	 11.891073 	 0.000000 	 0.000000 	 0.000000 
( 2,  0) 	 0.000000 	 0.000000 	 0.000000 	 1.135671 
( 2,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  3) 	 0.000000 	 0.000000 	 1.000000 	 0.000000 
( 2,  4) 	 0.000000 	 1.000335 	 0.000000 	 0.000000 
( 2,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  8) 	 0.000000 	 6.149204 	 0.000000 	 0.000000 
( 2,  9) 	 0.000000 	 11.436433 	 0.000000 	 3.425775 
( 3,  0) 	 0.000000 	 0.000000 	 0.000000 	 1.013567 
( 3,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  3) 	 0.000000 	 1.135671 	 -1.151137 	 0.000000 
( 3,  4) 	 -0.932421 	 0.000000 	 -0.215234 	 -0.500000 
( 3,  5) 	 -0.000000 	 0.000000 	 0.999396 	 -0.670720 
( 3,  6) 	 0.000000 	 0.000000 	 1.135033 	 0.000000 
( 3,  7) 	 0.000000 	 0.000000 	 1.135671 	 0.000000 
( 3,  8) 	 0.000000 	 1.135704 	 0.000000 	 0.000000 
( 3,  9) 	 0.000000 	 10.822653 	 2.899281 	 0.000000 
( 4,  0) 	 0.000000 	 0.000000 	 1.000000 	 0.000000 
( 4,  1) 	 0.000000 	 0.000000 	 0.000000 	 1.000335 
( 4,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  3) 	 0.000000 	 1.013903 	 0.000000 	 0.000000 
( 4,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  5) 	 -0.500000 	 0.714509 	 0.000000 	 0.000000 
( 4,  6) 	 1.844473 	 0.000000 	 -0.500000 	 0.000000 
( 4,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  9) 	 0.000000 	 9.761289 	 0.000000 	 0.000000 
( 5,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 5,  1) 	 0.000000 	 0.000000 	 1.000335 	 0.000000 
( 5,  2) 	 0.000000 	 0.000000 	 2.833098 	 0.000000 
( 5,  3) 	 1.864287 	 1.013232 	 0.000000 	 1.000000 
( 5,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 5,  5) 	 0.000000 	 -0.000000 	 0.000000 	 0.000000 
( 5,  6) 	 0.000000 	 2.629358 	 0.000000 	 -0.845060 
( 5,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 5,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 5,  9) 	 0.000000 	 9.045804 	 0.000000 	 0.000000 
( 6,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  2) 	 0.000000 	 0.000000 	 0.000000 	 1.000034 
( 6,  3) 	 1.823259 	 0.817161 	 0.000000 	 0.000000 
( 6,  4) 	 1.474467 	 0.000000 	 0.000000 	 0.000000 
( 6,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  6) 	 -0.500000 	 0.606557 	 0.000000 	 -0.000000 
( 6,  7) 	 2.066773 	 0.000000 	 0.000000 	 0.000000 
( 6,  8) 	 1.148265 	 0.000000 	 0.655135 	 0.000000 
( 6,  9) 	 1.822195 	 8.672437 	 -0.928880 	 0.000000 
( 7,  0) 	 0.000000 	 0.000000 	 0.000000 	 3.218777 
( 7,  1) 	 3.080631 	 0.000000 	 0.000000 	 0.000000 
( 7,  2) 	 2.699349 	 0.000000 	 0.000000 	 0.000000 
( 7,  3) 	 -0.049992 	 0.000000 	 0.000000 	 0.000000 
( 7,  4) 	 -0.284030 	 2.194654 	 0.000000 	 0.000000 
( 7,  5) 	 0.884666 	 0.000000 	 0.000000 	 5.471657 
( 7,  6) 	 0.000000 	 -0.000000 	 -0.499966 	 0.000000 
( 7,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 7,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 7,  9) 	 0.000000 	 10.091839 	 0.000000 	 0.000000 
( 8,  0) 	 0.000000 	 0.000000 	 0.000000 	 3.669855 
( 8,  1) 	 0.000000 	 -0.044161 	 1.929367 	 0.348842 
( 8,  2) 	 1.776111 	 -0.263738 	 0.000000 	 0.000000 
( 8,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 8,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 8,  5) 	 1.103638 	 2.697581 	 5.972377 	 -0.425362 
( 8,  6) 	 0.000000 	 -0.000302 	 6.645814 	 -0.031726 
( 8,  7) 	 0.000000 	 0.000000 	 7.081483 	 0.810235 
( 8,  8) 	 0.000000 	 0.000000 	 7.367882 	 0.000000 
( 8,  9) 	 0.000000 	 9.569973 	 2.018341 	 0.000000 
( 9,  0) 	 0.000000 	 0.000000 	 3.895603 	 0.000000 
( 9,  1) 	 0.000000 	 0.000000 	 6.784011 	 0.000000 
( 9,  2) 	 0.000000 	 0.000000 	 7.006104 	 0.000000 
( 9,  3) 	 0.000000 	 0.000000 	 7.263591 	 0.000000 
( 9,  4) 	 0.000000 	 0.000000 	 7.300373 	 0.000000 
( 9,  5) 	 0.000000 	 2.542759 	 5.929146 	 0.000000 
( 9,  6) 	 -0.626224 	 0.000000 	 6.093130 	 0.000000 
( 9,  7) 	 0.000000 	 0.000000 	 6.543275 	 0.000000 
( 9,  8) 	 0.000000 	 0.000000 	 6.732783 	 0.000000 
( 9,  9) 	 0.000000 	 6.732365 	 0.000000 	 1.280455 
