State 	 Left 	 Up 	 Right 	 Down 
( 0,  0) 	 -4.27 	 -0.00 	 -0.27 	 -4.27 
( 0,  1) 	 -0.81 	 -0.00 	 -0.27 	 -0.81 
( 0,  2) 	 -0.27 	 -0.00 	 -0.27 	 -0.27 
( 0,  3) 	 -0.54 	 -0.00 	 -0.54 	 -0.54 
( 0,  4) 	 -2.54 	 -0.27 	 -2.27 	 -2.54 
( 0,  5) 	 -2.54 	 -0.00 	 -2.54 	 -2.54 
( 0,  6) 	 -2.54 	 -0.00 	 -2.54 	 -2.54 
( 0,  7) 	 -2.54 	 -0.00 	 -2.27 	 -2.81 
( 0,  8) 	 -2.27 	 -0.00 	 -0.27 	 -4.27 
( 0,  9) 	 -0.27 	 -0.00 	 -0.00 	 -0.54 
( 1,  0) 	 -2.81 	 -0.00 	 -2.27 	 -2.81 
( 1,  1) 	 -2.54 	 -0.00 	 -2.54 	 -2.54 
( 1,  2) 	 -2.54 	 -0.00 	 -2.54 	 -2.54 
( 1,  3) 	 -2.54 	 -0.27 	 -2.27 	 -2.54 
( 1,  4) 	 -2.54 	 -2.00 	 -0.54 	 -2.54 
( 1,  5) 	 -0.54 	 -0.27 	 -0.27 	 -0.54 
( 1,  6) 	 -0.27 	 -0.00 	 -0.27 	 -0.27 
( 1,  7) 	 -0.27 	 -0.00 	 -0.27 	 -0.27 
( 1,  8) 	 -0.54 	 -0.54 	 -0.54 	 -0.81 
( 1,  9) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 2,  0) 	 -0.27 	 -0.00 	 -0.27 	 -0.27 
( 2,  1) 	 -0.27 	 -0.00 	 -0.27 	 -0.27 
( 2,  2) 	 -0.27 	 -0.00 	 -0.27 	 -0.27 
( 2,  3) 	 -0.27 	 -0.00 	 -0.27 	 -0.27 
( 2,  4) 	 -0.27 	 -0.27 	 -0.00 	 -0.27 
( 2,  5) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 2,  6) 	 -0.27 	 -0.27 	 -0.82 	 -0.27 
( 2,  7) 	 -0.54 	 -0.81 	 -1.36 	 -0.54 
( 2,  8) 	 -2.27 	 -4.54 	 -4.54 	 -2.27 
( 2,  9) 	 -0.27 	 -0.54 	 -0.54 	 -0.27 
( 3,  0) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 3,  1) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 3,  2) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 3,  3) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 3,  4) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 3,  5) 	 -0.54 	 -0.27 	 -0.82 	 -0.27 
( 3,  6) 	 -2.54 	 -2.81 	 -7.36 	 -2.54 
( 3,  7) 	 -2.54 	 -2.81 	 -7.36 	 -2.54 
( 3,  8) 	 -2.54 	 -4.81 	 -5.36 	 -2.54 
( 3,  9) 	 -0.27 	 -0.54 	 -0.54 	 -0.27 
( 4,  0) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 4,  1) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 4,  2) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 4,  3) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 4,  4) 	 -0.54 	 -0.00 	 -0.00 	 -0.00 
( 4,  5) 	 -2.54 	 -0.54 	 -0.54 	 -0.27 
( 4,  6) 	 -2.54 	 -4.81 	 -5.36 	 -2.54 
( 4,  7) 	 -0.54 	 -0.82 	 -1.36 	 -0.54 
( 4,  8) 	 -0.27 	 -0.54 	 -0.55 	 -0.27 
( 4,  9) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 5,  0) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 5,  1) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 5,  2) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 5,  3) 	 -0.27 	 -0.00 	 -0.00 	 -0.00 
( 5,  4) 	 -2.54 	 -0.00 	 -0.00 	 -0.00 
( 5,  5) 	 -2.54 	 -0.54 	 -0.55 	 -0.27 
( 5,  6) 	 -0.54 	 -5.08 	 -5.09 	 -2.54 
( 5,  7) 	 -0.00 	 -0.54 	 -0.55 	 -0.27 
( 5,  8) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 5,  9) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 6,  0) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 6,  1) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 6,  2) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 6,  3) 	 -0.27 	 -0.00 	 -0.00 	 -0.00 
( 6,  4) 	 -2.54 	 -0.00 	 -0.00 	 -0.00 
( 6,  5) 	 -0.81 	 -0.54 	 -1.09 	 -0.27 
( 6,  6) 	 -0.00 	 -5.08 	 -5.09 	 -2.54 
( 6,  7) 	 -0.00 	 -0.54 	 -0.54 	 -0.27 
( 6,  8) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 6,  9) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 7,  0) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 7,  1) 	 -0.00 	 -0.00 	 -0.54 	 -0.27 
( 7,  2) 	 -0.00 	 -0.00 	 -0.27 	 -0.27 
( 7,  3) 	 -0.27 	 -0.00 	 -0.27 	 -0.00 
( 7,  4) 	 -2.54 	 -0.00 	 -0.55 	 -0.00 
( 7,  5) 	 -2.27 	 -0.54 	 -5.09 	 -0.54 
( 7,  6) 	 -0.27 	 -4.81 	 -5.36 	 -2.54 
( 7,  7) 	 -0.00 	 -0.54 	 -0.54 	 -0.27 
( 7,  8) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 7,  9) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 8,  0) 	 -0.00 	 -0.00 	 -0.54 	 -0.27 
( 8,  1) 	 -0.00 	 -0.00 	 -4.54 	 -2.27 
( 8,  2) 	 -0.00 	 -0.00 	 -3.08 	 -2.54 
( 8,  3) 	 -0.00 	 -0.00 	 -2.82 	 -0.54 
( 8,  4) 	 -0.27 	 -0.00 	 -1.36 	 -0.54 
( 8,  5) 	 -0.27 	 -0.54 	 -5.09 	 -2.54 
( 8,  6) 	 -0.00 	 -2.54 	 -3.09 	 -2.54 
( 8,  7) 	 -0.00 	 -0.27 	 -0.27 	 -0.27 
( 8,  8) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 8,  9) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 9,  0) 	 -0.00 	 -0.00 	 -0.27 	 -0.00 
( 9,  1) 	 -0.00 	 -0.00 	 -2.81 	 -0.54 
