State 	 Left 	 Up 	 Right 	 Down 
( 0,  0) 	 0.000000 	 0.000000 	 0.000000 	 9.837565 
( 0,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  4) 	 0.000000 	 0.000000 	 3.472386 	 0.000000 
( 0,  5) 	 -0.244509 	 8.857619 	 16.724254 	 4.758991 
( 0,  6) 	 0.000000 	 8.935668 	 17.661237 	 5.160703 
( 0,  7) 	 3.507712 	 10.588531 	 18.116157 	 5.621091 
( 0,  8) 	 3.874620 	 10.338724 	 10.298778 	 13.945868 
( 0,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  0) 	 0.715024 	 0.000000 	 8.443232 	 2.722933 
( 1,  1) 	 0.000000 	 0.000000 	 9.368407 	 2.704379 
( 1,  2) 	 0.000000 	 0.000000 	 9.804940 	 3.131336 
( 1,  3) 	 -0.601362 	 0.000000 	 10.292415 	 3.425968 
( 1,  4) 	 0.000000 	 0.000000 	 10.573364 	 3.214318 
( 1,  5) 	 0.000000 	 13.449388 	 8.136648 	 7.241885 
( 1,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  9) 	 9.695496 	 0.000000 	 0.000000 	 0.000000 
( 2,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.136006 
( 2,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  5) 	 0.000000 	 11.515648 	 7.394555 	 3.781494 
( 2,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  8) 	 0.000000 	 12.124729 	 0.000000 	 0.000000 
( 2,  9) 	 0.000000 	 7.811897 	 0.000000 	 0.000000 
( 3,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  1) 	 0.000000 	 0.000000 	 -0.499966 	 0.000034 
( 3,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  5) 	 0.000000 	 10.664155 	 9.434938 	 0.000000 
( 3,  6) 	 5.046875 	 3.677925 	 14.297758 	 0.000000 
( 3,  7) 	 0.000000 	 0.000000 	 10.274386 	 0.000000 
( 3,  8) 	 0.000000 	 11.109750 	 0.000000 	 0.000000 
( 3,  9) 	 0.000000 	 7.762775 	 0.000000 	 0.000000 
( 4,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  1) 	 0.000000 	 0.000000 	 0.000335 	 0.000000 
( 4,  2) 	 0.000000 	 0.000000 	 -0.091329 	 0.000000 
( 4,  3) 	 -0.244922 	 0.000000 	 -0.363994 	 1.509479 
( 4,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  5) 	 0.000000 	 1.135671 	 0.000000 	 0.000000 
( 4,  6) 	 0.000000 	 11.070733 	 6.441009 	 2.523617 
( 4,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  9) 	 0.000000 	 7.465574 	 0.000000 	 0.000000 
( 5,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 5,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 5,  2) 	 0.000000 	 0.000000 	 5.757744 	 0.000000 
( 5,  3) 	 0.000000 	 0.000000 	 6.695840 	 0.000000 
( 5,  4) 	 0.000000 	 0.000000 	 8.879558 	 -0.000604 
( 5,  5) 	 0.000000 	 0.000000 	 9.875442 	 0.000000 
( 5,  6) 	 0.000000 	 10.172203 	 7.877234 	 0.000000 
( 5,  7) 	 0.000000 	 0.000000 	 1.271409 	 0.000000 
( 5,  8) 	 0.000000 	 0.000000 	 1.136006 	 0.000000 
( 5,  9) 	 0.000000 	 7.143425 	 0.000000 	 0.000000 
( 6,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  2) 	 0.602977 	 5.403970 	 0.891463 	 0.000000 
( 6,  3) 	 0.000000 	 0.000000 	 1.715005 	 0.000000 
( 6,  4) 	 0.000000 	 2.557289 	 0.000000 	 0.985920 
