State 	 Left 	 Up 	 Right 	 Down 
( 0,  0) 	 0.000000 	 -1.250000 	 0.000000 	 7.197882 
( 0,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  3) 	 0.000000 	 3.772967 	 10.792352 	 0.000000 
( 0,  4) 	 1.890097 	 6.308191 	 12.089998 	 0.000000 
( 0,  5) 	 0.000000 	 6.086599 	 16.110558 	 0.000000 
( 0,  6) 	 0.000000 	 4.982246 	 16.497080 	 0.000000 
( 0,  7) 	 0.000000 	 6.970005 	 17.595999 	 10.821227 
( 0,  8) 	 8.102652 	 0.000000 	 0.000000 	 7.275976 
( 0,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  0) 	 -0.227369 	 0.000000 	 0.000000 	 8.050950 
( 1,  1) 	 0.000000 	 0.000000 	 0.891195 	 0.000000 
( 1,  2) 	 0.000000 	 0.000000 	 3.750988 	 0.000000 
( 1,  3) 	 0.000000 	 10.059430 	 6.814242 	 0.000000 
( 1,  4) 	 4.983071 	 6.146924 	 13.543370 	 2.516138 
( 1,  5) 	 -0.148221 	 7.957476 	 4.625443 	 7.918520 
( 1,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  7) 	 0.000000 	 6.013567 	 17.380200 	 0.135033 
( 1,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  9) 	 10.603605 	 0.000000 	 6.252232 	 5.525756 
( 2,  0) 	 0.000000 	 0.000000 	 1.012930 	 7.542332 
( 2,  1) 	 0.000000 	 0.877662 	 -2.386399 	 0.000000 
( 2,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  3) 	 0.000000 	 4.375647 	 0.000000 	 0.000000 
( 2,  4) 	 -0.741172 	 7.544806 	 6.448489 	 2.314364 
( 2,  5) 	 0.000000 	 9.813059 	 0.000000 	 0.000000 
( 2,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
