State 	 Left 	 Up 	 Right 	 Down 
( 0,  0) 	 0.000000 	 0.000000 	 0.000000 	 9.201732 
( 0,  1) 	 -0.432201 	 0.000000 	 -0.363994 	 0.000000 
( 0,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  3) 	 -0.512271 	 0.000000 	 0.136342 	 0.000000 
( 0,  4) 	 0.000000 	 0.000000 	 0.000000 	 2.206004 
( 0,  5) 	 0.000000 	 4.485406 	 13.831597 	 0.000000 
( 0,  6) 	 0.000000 	 4.964566 	 15.311011 	 0.000000 
( 0,  7) 	 0.000000 	 12.769542 	 17.680159 	 3.536567 
( 0,  8) 	 3.692516 	 11.192572 	 12.407816 	 12.374204 
( 0,  9) 	 5.250017 	 0.000000 	 0.000000 	 0.000000 
( 1,  0) 	 0.385708 	 -0.482447 	 8.249345 	 1.473673 
( 1,  1) 	 0.000000 	 0.000000 	 10.820726 	 0.000000 
( 1,  2) 	 0.000000 	 2.210201 	 11.337725 	 0.000000 
( 1,  3) 	 0.000000 	 0.000335 	 13.251958 	 0.000000 
( 1,  4) 	 0.000000 	 0.000000 	 11.647735 	 1.000000 
( 1,  5) 	 2.997584 	 12.589893 	 7.256930 	 0.000000 
( 1,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  7) 	 0.000000 	 13.107476 	 5.310931 	 3.249525 
( 1,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  0) 	 0.000000 	 -0.570904 	 1.271342 	 0.000000 
( 2,  1) 	 0.000000 	 3.617090 	 0.000000 	 0.000000 
( 2,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  3) 	 0.000000 	 2.941155 	 0.000000 	 0.000000 
( 2,  4) 	 0.000000 	 0.000000 	 3.545409 	 0.000000 
( 2,  5) 	 0.000000 	 10.011895 	 0.000000 	 -0.000000 
( 2,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  7) 	 -0.500275 	 13.123634 	 4.972990 	 0.000000 
( 2,  8) 	 6.832913 	 12.988201 	 4.271917 	 3.427771 
( 2,  9) 	 0.000000 	 0.000000 	 -0.500000 	 0.000000 
( 3,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  3) 	 0.000000 	 1.136006 	 0.000000 	 0.000000 
( 3,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  5) 	 0.000000 	 3.728939 	 -0.000198 	 -0.000000 
( 3,  6) 	 0.921283 	 7.368525 	 9.987298 	 0.000152 
( 3,  7) 	 0.000000 	 9.013569 	 11.236095 	 1.510725 
( 3,  8) 	 0.000000 	 14.054213 	 4.048949 	 2.055577 
( 3,  9) 	 -0.000000 	 0.000000 	 -0.500000 	 0.000000 
