State 	 Left 	 Up 	 Right 	 Down 
( 0,  0) 	 0.000000 	 -1.500000 	 6.745788 	 1.013534 
( 0,  1) 	 2.191342 	 0.000000 	 0.380969 	 6.688615 
( 0,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  4) 	 0.000000 	 0.000000 	 4.708789 	 0.000000 
( 0,  5) 	 0.000000 	 0.000000 	 14.655418 	 0.000000 
( 0,  6) 	 2.832105 	 0.000000 	 15.397389 	 0.000000 
( 0,  7) 	 0.000000 	 0.000000 	 15.497975 	 -0.109778 
( 0,  8) 	 0.000000 	 0.000000 	 6.027436 	 13.041075 
( 0,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  0) 	 0.000000 	 0.000000 	 2.970697 	 0.000000 
( 1,  1) 	 0.000000 	 0.000000 	 12.169752 	 0.000000 
( 1,  2) 	 0.000000 	 0.434568 	 12.285541 	 2.498389 
( 1,  3) 	 0.000000 	 0.000000 	 12.074833 	 0.000000 
( 1,  4) 	 1.007722 	 0.646317 	 10.835663 	 0.000000 
( 1,  5) 	 0.000000 	 8.556451 	 4.819296 	 0.000000 
( 1,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  7) 	 2.728652 	 3.986363 	 0.000000 	 0.000000 
( 1,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  1) 	 0.000000 	 3.336864 	 0.000000 	 0.000000 
( 2,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  5) 	 0.000000 	 2.971840 	 0.000000 	 0.000000 
( 2,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  8) 	 0.000000 	 13.783900 	 7.972793 	 0.000000 
( 2,  9) 	 10.674681 	 0.000000 	 0.000000 	 0.000000 
( 3,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  1) 	 0.000000 	 1.013567 	 0.000000 	 0.000000 
( 3,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  3) 	 0.000000 	 0.000000 	 1.001342 	 0.000000 
( 3,  4) 	 0.000000 	 0.000000 	 3.704470 	 0.000000 
( 3,  5) 	 0.000000 	 -0.231814 	 11.480220 	 0.000000 
( 3,  6) 	 0.000000 	 -1.132183 	 12.388437 	 0.000000 
( 3,  7) 	 0.000000 	 0.000000 	 12.810411 	 0.000000 
( 3,  8) 	 0.000000 	 11.388721 	 6.861299 	 0.000000 
( 3,  9) 	 0.135033 	 10.444266 	 0.000000 	 0.000000 
( 4,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  1) 	 0.000000 	 1.135671 	 0.000000 	 0.000000 
( 4,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  3) 	 0.000000 	 1.013567 	 0.000000 	 0.000000 
( 4,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  5) 	 0.000000 	 8.060318 	 0.000000 	 0.000000 
( 4,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  9) 	 0.000000 	 9.673776 	 0.000000 	 0.000000 
( 5,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 5,  1) 	 0.000000 	 0.878903 	 0.000000 	 0.000000 
( 5,  2) 	 0.878534 	 0.000000 	 5.972873 	 0.000000 
( 5,  3) 	 0.000000 	 0.878567 	 6.687586 	 0.000000 
( 5,  4) 	 2.571423 	 0.000000 	 6.909056 	 0.076856 
( 5,  5) 	 2.770673 	 7.456694 	 0.000000 	 0.000000 
( 5,  6) 	 2.901805 	 0.000000 	 7.352258 	 0.000000 
( 5,  7) 	 0.000000 	 1.917077 	 7.754870 	 0.000000 
( 5,  8) 	 0.000000 	 0.000000 	 8.064801 	 0.000000 
( 5,  9) 	 0.000000 	 8.702111 	 0.000000 	 0.000000 
( 6,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  2) 	 0.000000 	 7.821089 	 0.000000 	 -0.538780 
( 6,  3) 	 1.421660 	 0.000000 	 0.247658 	 0.000000 
( 6,  4) 	 1.245728 	 0.000000 	 0.000000 	 0.000000 
( 6,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  6) 	 0.000000 	 9.178364 	 0.000000 	 0.000000 
( 6,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 7,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 7,  1) 	 0.000000 	 0.000000 	 1.816207 	 0.000000 
( 7,  2) 	 0.000000 	 7.739371 	 0.000000 	 0.000000 
( 7,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 7,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 7,  5) 	 0.000000 	 0.000000 	 7.842403 	 0.000000 
( 7,  6) 	 0.000000 	 8.756386 	 0.000000 	 0.000000 
( 7,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 7,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 7,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 8,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 8,  1) 	 0.000000 	 1.013869 	 4.510998 	 0.000000 
( 8,  2) 	 0.000000 	 5.350682 	 0.000000 	 0.000000 
( 8,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 8,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 8,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 8,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 8,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 8,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 8,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 9,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 9,  1) 	 0.000000 	 1.070290 	 0.000000 	 0.000000 
( 9,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 9,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 9,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 9,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 9,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 9,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 9,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 9,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
