State 	 Left 	 Up 	 Right 	 Down 
( 0,  0) 	 -0.00 	 -0.00 	 -0.54 	 -6.27 
( 0,  1) 	 -0.00 	 -0.00 	 -0.82 	 -0.81 
( 0,  2) 	 -0.00 	 -0.00 	 -0.82 	 -0.00 
( 0,  3) 	 -0.00 	 -0.00 	 -0.55 	 -0.27 
( 0,  4) 	 -0.00 	 -0.00 	 -1.09 	 -0.00 
( 0,  5) 	 -0.00 	 -0.54 	 -4.54 	 -0.27 
( 0,  6) 	 -0.00 	 -0.00 	 -4.81 	 -0.54 
( 0,  7) 	 -0.27 	 -0.00 	 -3.35 	 -4.27 
( 0,  8) 	 -2.27 	 -0.00 	 -0.27 	 -2.54 
( 0,  9) 	 -2.54 	 -0.27 	 -0.00 	 -0.27 
( 1,  0) 	 -0.00 	 -0.00 	 -4.81 	 -3.08 
( 1,  1) 	 -0.00 	 -0.27 	 -7.35 	 -0.27 
( 1,  2) 	 -0.00 	 -0.00 	 -7.36 	 -0.27 
( 1,  3) 	 -0.00 	 -0.00 	 -5.36 	 -2.27 
( 1,  4) 	 -0.00 	 -0.54 	 -4.55 	 -0.54 
( 1,  5) 	 -0.00 	 -4.27 	 -1.09 	 -2.27 
( 1,  6) 	 -0.00 	 -0.54 	 -1.36 	 -0.27 
( 1,  7) 	 -0.00 	 -0.28 	 -6.27 	 -0.54 
( 1,  8) 	 -0.54 	 -1.36 	 -0.81 	 -0.27 
( 1,  9) 	 -2.27 	 -2.55 	 -0.00 	 -0.00 
( 2,  0) 	 -0.00 	 -0.27 	 -0.54 	 -2.54 
( 2,  1) 	 -0.00 	 -2.27 	 -0.82 	 -0.27 
( 2,  2) 	 -0.00 	 -0.27 	 -0.82 	 -0.27 
( 2,  3) 	 -0.00 	 -0.00 	 -0.82 	 -2.54 
( 2,  4) 	 -0.00 	 -0.27 	 -0.82 	 -0.54 
( 2,  5) 	 -0.00 	 -2.81 	 -0.55 	 -2.27 
( 2,  6) 	 -0.00 	 -0.55 	 -1.36 	 -0.54 
( 2,  7) 	 -0.00 	 -3.36 	 -1.90 	 -0.00 
( 2,  8) 	 -0.00 	 -9.90 	 -0.28 	 -0.00 
( 2,  9) 	 -0.54 	 -5.90 	 -0.00 	 -0.00 
( 3,  0) 	 -0.00 	 -0.27 	 -0.00 	 -2.54 
( 3,  1) 	 -0.00 	 -2.54 	 -0.00 	 -0.27 
( 3,  2) 	 -0.27 	 -0.27 	 -0.27 	 -0.27 
( 3,  3) 	 -0.00 	 -0.27 	 -2.28 	 -2.54 
( 3,  4) 	 -0.00 	 -0.27 	 -2.82 	 -0.27 
( 3,  5) 	 -0.00 	 -2.55 	 -5.63 	 -0.54 
( 3,  6) 	 -0.00 	 -1.63 	 -11.63 	 -2.27 
( 3,  7) 	 -0.00 	 -3.36 	 -9.63 	 -0.27 
( 3,  8) 	 -0.27 	 -9.90 	 -3.09 	 -0.00 
( 3,  9) 	 -2.00 	 -6.17 	 -0.27 	 -0.00 
( 4,  0) 	 -0.00 	 -0.27 	 -0.27 	 -2.54 
( 4,  1) 	 -0.27 	 -2.27 	 -0.27 	 -0.27 
( 4,  2) 	 -2.00 	 -0.81 	 -0.27 	 -0.27 
( 4,  3) 	 -0.27 	 -2.27 	 -1.09 	 -2.27 
( 4,  4) 	 -0.27 	 -0.55 	 -0.82 	 -0.54 
( 4,  5) 	 -0.27 	 -3.63 	 -0.82 	 -0.27 
( 4,  6) 	 -0.27 	 -9.36 	 -1.63 	 -2.27 
( 4,  7) 	 -0.27 	 -1.36 	 -1.36 	 -0.27 
( 4,  8) 	 -0.27 	 -1.63 	 -0.54 	 -0.00 
( 4,  9) 	 -0.54 	 -5.09 	 -0.00 	 -0.00 
( 5,  0) 	 -0.00 	 -0.27 	 -2.27 	 -2.54 
( 5,  1) 	 -0.00 	 -0.54 	 -2.54 	 -0.27 
( 5,  2) 	 -0.27 	 -2.54 	 -3.08 	 -0.00 
( 5,  3) 	 -0.54 	 -2.81 	 -6.82 	 -0.54 
( 5,  4) 	 -2.54 	 -0.55 	 -5.09 	 -2.27 
( 5,  5) 	 -2.54 	 -3.36 	 -2.82 	 -0.27 
( 5,  6) 	 -2.54 	 -10.17 	 -2.55 	 -0.27 
( 5,  7) 	 -2.54 	 -1.09 	 -2.54 	 -0.00 
( 5,  8) 	 -2.54 	 -0.55 	 -2.27 	 -0.00 
( 5,  9) 	 -2.27 	 -5.09 	 -0.27 	 -0.00 
( 6,  0) 	 -0.00 	 -2.27 	 -0.27 	 -2.54 
( 6,  1) 	 -0.27 	 -0.54 	 -0.27 	 -0.27 
( 6,  2) 	 -0.54 	 -2.54 	 -0.28 	 -0.00 
( 6,  3) 	 -2.54 	 -2.82 	 -1.36 	 -0.27 
( 6,  4) 	 -2.54 	 -0.55 	 -1.36 	 -2.27 
( 6,  5) 	 -0.81 	 -1.09 	 -1.36 	 -0.81 
( 6,  6) 	 -0.27 	 -7.90 	 -0.28 	 -0.27 
( 6,  7) 	 -0.27 	 -0.82 	 -0.27 	 -0.00 
( 6,  8) 	 -0.27 	 -0.55 	 -0.27 	 -0.00 
( 6,  9) 	 -0.27 	 -5.09 	 -0.00 	 -0.00 
( 7,  0) 	 -0.27 	 -2.27 	 -0.00 	 -2.54 
( 7,  1) 	 -2.27 	 -0.27 	 -0.82 	 -0.27 
( 7,  2) 	 -2.54 	 -0.55 	 -1.36 	 -0.00 
( 7,  3) 	 -2.54 	 -3.63 	 -4.82 	 -0.27 
( 7,  4) 	 -0.82 	 -2.28 	 -7.63 	 -0.82 
( 7,  5) 	 -2.00 	 -1.36 	 -8.82 	 -4.81 
( 7,  6) 	 -0.27 	 -6.82 	 -1.36 	 -2.54 
( 7,  7) 	 -0.00 	 -0.82 	 -0.28 	 -0.27 
( 7,  8) 	 -0.00 	 -0.55 	 -0.27 	 -0.00 
( 7,  9) 	 -0.00 	 -5.08 	 -0.00 	 -0.00 
( 8,  0) 	 -0.00 	 -0.27 	 -1.09 	 -2.27 
( 8,  1) 	 -0.27 	 -0.00 	 -7.08 	 -0.27 
( 8,  2) 	 -0.27 	 -1.09 	 -7.09 	 -0.27 
( 8,  3) 	 -0.27 	 -8.81 	 -1.90 	 -2.00 
( 8,  4) 	 -0.54 	 -1.63 	 -1.36 	 -0.81 
( 8,  5) 	 -0.81 	 -2.28 	 -1.63 	 -4.54 
( 8,  6) 	 -0.00 	 -1.09 	 -2.55 	 -0.81 
( 8,  7) 	 -0.00 	 -0.00 	 -2.81 	 -0.00 
( 8,  8) 	 -0.00 	 -0.54 	 -2.54 	 -0.00 
( 8,  9) 	 -0.00 	 -4.81 	 -0.27 	 -0.00 
( 9,  0) 	 -0.00 	 -0.00 	 -2.27 	 -0.27 
( 9,  1) 	 -0.00 	 -0.00 	 -3.36 	 -0.00 
( 9,  2) 	 -0.00 	 -0.54 	 -3.63 	 -0.00 
( 9,  3) 	 -0.54 	 -5.08 	 -4.82 	 -0.27 
( 9,  4) 	 -4.54 	 -0.82 	 -4.82 	 -0.00 
( 9,  5) 	 -4.54 	 -2.27 	 -2.82 	 -0.54 
( 9,  6) 	 -0.54 	 -0.27 	 -2.81 	 -0.00 
( 9,  7) 	 -0.00 	 -0.00 	 -2.81 	 -0.00 
( 9,  8) 	 -0.00 	 -0.27 	 -2.54 	 -0.00 
( 9,  9) 	 -0.00 	 -2.54 	 -0.27 	 -0.00 
