State 	 Left 	 Up 	 Right 	 Down 
( 0,  0) 	 -0.00 	 -0.00 	 -0.54 	 -6.27 
( 0,  1) 	 -0.00 	 -0.00 	 -0.00 	 -1.36 
( 0,  2) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 0,  3) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 0,  4) 	 -0.00 	 -0.00 	 -0.27 	 -0.00 
( 0,  5) 	 -0.00 	 -0.27 	 -2.27 	 -0.00 
( 0,  6) 	 -0.00 	 -0.00 	 -2.54 	 -0.00 
( 0,  7) 	 -0.00 	 -0.00 	 -3.08 	 -0.27 
( 0,  8) 	 -0.00 	 -0.00 	 -0.27 	 -2.00 
( 0,  9) 	 -0.81 	 -0.00 	 -0.00 	 -0.27 
( 1,  0) 	 -0.00 	 -0.00 	 -4.00 	 -3.63 
( 1,  1) 	 -0.00 	 -0.00 	 -0.54 	 -4.82 
( 1,  2) 	 -0.00 	 -0.00 	 -0.00 	 -0.54 
( 1,  3) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 1,  4) 	 -0.00 	 -0.27 	 -0.00 	 -0.00 
( 1,  5) 	 -0.00 	 -2.27 	 -0.28 	 -0.00 
( 1,  6) 	 -0.00 	 -0.27 	 -1.09 	 -0.00 
( 1,  7) 	 -0.00 	 -0.82 	 -6.27 	 -0.00 
( 1,  8) 	 -0.81 	 -0.55 	 -0.81 	 -0.27 
( 1,  9) 	 -6.00 	 -0.82 	 -0.00 	 -0.00 
( 2,  0) 	 -0.00 	 -0.00 	 -0.54 	 -3.09 
( 2,  1) 	 -0.00 	 -0.00 	 -0.00 	 -5.35 
( 2,  2) 	 -0.00 	 -0.00 	 -0.01 	 -0.54 
( 2,  3) 	 -0.00 	 -0.00 	 -1.09 	 -0.00 
( 2,  4) 	 -0.00 	 -0.27 	 -1.09 	 -0.00 
( 2,  5) 	 -0.00 	 -2.54 	 -1.09 	 -0.00 
( 2,  6) 	 -0.00 	 -1.09 	 -1.09 	 -0.54 
( 2,  7) 	 -0.00 	 -7.36 	 -1.36 	 -0.00 
( 2,  8) 	 -0.27 	 -6.17 	 -0.00 	 -0.00 
( 2,  9) 	 -1.08 	 -7.36 	 -0.00 	 -0.00 
( 3,  0) 	 -0.00 	 -0.00 	 -0.28 	 -3.08 
( 3,  1) 	 -0.00 	 -0.00 	 -0.82 	 -4.81 
( 3,  2) 	 -0.00 	 -0.00 	 -2.17 	 -0.54 
( 3,  3) 	 -0.00 	 -1.08 	 -9.09 	 -0.00 
( 3,  4) 	 -0.00 	 -0.27 	 -10.17 	 -0.00 
( 3,  5) 	 -0.00 	 -2.55 	 -10.17 	 -0.54 
( 3,  6) 	 -0.00 	 -1.63 	 -9.63 	 -4.54 
( 3,  7) 	 -0.27 	 -7.36 	 -5.09 	 -0.54 
( 3,  8) 	 -2.27 	 -6.17 	 -0.55 	 -0.00 
( 3,  9) 	 -2.27 	 -8.44 	 -0.00 	 -0.00 
( 4,  0) 	 -0.00 	 -0.27 	 -3.36 	 -2.27 
( 4,  1) 	 -0.00 	 -0.00 	 -7.90 	 -0.81 
( 4,  2) 	 -0.00 	 -1.35 	 -8.82 	 -0.27 
( 4,  3) 	 -0.00 	 -8.00 	 -2.17 	 -0.00 
( 4,  4) 	 -0.00 	 -1.36 	 -1.36 	 -0.00 
( 4,  5) 	 -0.00 	 -3.09 	 -1.09 	 -0.54 
( 4,  6) 	 -0.00 	 -4.82 	 -1.63 	 -4.54 
( 4,  7) 	 -0.00 	 -1.36 	 -1.09 	 -0.54 
( 4,  8) 	 -0.27 	 -1.63 	 -1.09 	 -0.00 
( 4,  9) 	 -0.27 	 -9.90 	 -0.00 	 -0.00 
( 5,  0) 	 -0.00 	 -2.54 	 -4.81 	 -0.27 
( 5,  1) 	 -0.00 	 -0.54 	 -5.36 	 -0.27 
( 5,  2) 	 -0.00 	 -2.00 	 -1.63 	 -2.27 
( 5,  3) 	 -0.00 	 -1.35 	 -0.28 	 -0.27 
( 5,  4) 	 -0.00 	 -0.55 	 -2.01 	 -0.00 
( 5,  5) 	 -0.00 	 -2.82 	 -0.82 	 -0.00 
( 5,  6) 	 -0.00 	 -5.36 	 -4.55 	 -0.54 
( 5,  7) 	 -0.00 	 -0.55 	 -5.63 	 -0.00 
( 5,  8) 	 -0.00 	 -1.63 	 -8.54 	 -0.00 
( 5,  9) 	 -0.00 	 -9.09 	 -1.08 	 -0.00 
( 6,  0) 	 -0.00 	 -4.81 	 -0.54 	 -0.00 
( 6,  1) 	 -0.54 	 -0.55 	 -0.82 	 -0.27 
( 6,  2) 	 -0.00 	 -0.27 	 -0.55 	 -2.27 
( 6,  3) 	 -0.00 	 -0.27 	 -0.54 	 -0.27 
( 6,  4) 	 -0.00 	 -2.27 	 -0.82 	 -0.00 
( 6,  5) 	 -0.27 	 -1.09 	 -1.09 	 -0.00 
( 6,  6) 	 -0.00 	 -5.09 	 -0.55 	 -0.54 
( 6,  7) 	 -0.00 	 -1.09 	 -0.55 	 -0.00 
( 6,  8) 	 -0.00 	 -4.55 	 -1.08 	 -0.00 
( 6,  9) 	 -0.00 	 -1.63 	 -0.00 	 -0.00 
( 7,  0) 	 -0.54 	 -4.54 	 -0.27 	 -0.00 
( 7,  1) 	 -4.00 	 -1.35 	 -2.54 	 -0.00 
( 7,  2) 	 -0.54 	 -0.00 	 -4.81 	 -0.27 
( 7,  3) 	 -0.00 	 -0.27 	 -5.09 	 -0.00 
( 7,  4) 	 -0.27 	 -2.27 	 -5.63 	 -0.00 
( 7,  5) 	 -2.00 	 -0.81 	 -8.54 	 -0.54 
( 7,  6) 	 -0.27 	 -4.54 	 -1.63 	 -4.00 
( 7,  7) 	 -0.00 	 -1.09 	 -0.55 	 -0.54 
( 7,  8) 	 -0.00 	 -5.08 	 -0.00 	 -0.00 
( 7,  9) 	 -0.00 	 -0.55 	 -0.00 	 -0.00 
( 8,  0) 	 -0.00 	 -1.35 	 -0.00 	 -0.00 
( 8,  1) 	 -0.54 	 -6.00 	 -0.27 	 -0.00 
