State 	 Left 	 Up 	 Right 	 Down 
( 0,  0) 	 -0.00 	 -2.00 	 -2.27 	 -4.54 
( 0,  1) 	 -0.00 	 -0.27 	 -0.81 	 -2.54 
( 0,  2) 	 -0.00 	 -0.00 	 -0.54 	 -0.27 
( 0,  3) 	 -0.00 	 -0.00 	 -0.54 	 -0.00 
( 0,  4) 	 -0.00 	 -0.00 	 -0.81 	 -0.00 
( 0,  5) 	 -0.00 	 -0.27 	 -2.27 	 -0.27 
( 0,  6) 	 -0.00 	 -0.00 	 -2.54 	 -0.00 
( 0,  7) 	 -0.00 	 -0.00 	 -2.27 	 -0.27 
( 0,  8) 	 -0.00 	 -0.00 	 -0.27 	 -2.00 
( 0,  9) 	 -0.27 	 -0.00 	 -0.00 	 -0.27 
( 1,  0) 	 -0.00 	 -0.27 	 -2.81 	 -2.81 
( 1,  1) 	 -0.00 	 -0.00 	 -4.81 	 -0.54 
( 1,  2) 	 -0.00 	 -0.00 	 -5.08 	 -0.00 
( 1,  3) 	 -0.00 	 -0.00 	 -5.08 	 -0.00 
( 1,  4) 	 -0.00 	 -0.27 	 -4.54 	 -0.27 
( 1,  5) 	 -0.00 	 -2.00 	 -0.81 	 -2.27 
( 1,  6) 	 -0.00 	 -0.27 	 -0.28 	 -0.27 
( 1,  7) 	 -0.00 	 -0.00 	 -0.27 	 -0.00 
( 1,  8) 	 -0.27 	 -1.63 	 -0.00 	 -0.27 
( 1,  9) 	 -2.27 	 -0.28 	 -0.00 	 -0.00 
( 2,  0) 	 -0.00 	 -0.00 	 -0.27 	 -2.54 
( 2,  1) 	 -0.00 	 -0.00 	 -0.54 	 -0.27 
( 2,  2) 	 -0.00 	 -0.00 	 -0.54 	 -0.00 
( 2,  3) 	 -0.00 	 -0.00 	 -0.54 	 -0.00 
( 2,  4) 	 -0.00 	 -0.00 	 -0.54 	 -0.27 
( 2,  5) 	 -0.00 	 -0.27 	 -0.28 	 -2.27 
( 2,  6) 	 -0.00 	 -0.01 	 -1.09 	 -0.27 
( 2,  7) 	 -0.00 	 -1.63 	 -1.09 	 -0.00 
( 2,  8) 	 -0.27 	 -13.63 	 -0.00 	 -0.00 
( 2,  9) 	 -2.54 	 -4.17 	 -0.00 	 -0.00 
( 3,  0) 	 -0.00 	 -0.00 	 -0.00 	 -2.54 
( 3,  1) 	 -0.00 	 -0.00 	 -0.00 	 -0.27 
( 3,  2) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 3,  3) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 3,  4) 	 -0.00 	 -0.00 	 -0.28 	 -0.00 
( 3,  5) 	 -0.00 	 -0.00 	 -3.09 	 -0.27 
( 3,  6) 	 -0.00 	 -0.82 	 -9.35 	 -0.00 
( 3,  7) 	 -0.00 	 -1.36 	 -9.08 	 -0.00 
( 3,  8) 	 -0.27 	 -12.17 	 -1.09 	 -0.00 
( 3,  9) 	 -2.27 	 -6.44 	 -0.00 	 -0.00 
( 4,  0) 	 -0.00 	 -0.00 	 -0.27 	 -2.27 
( 4,  1) 	 -0.00 	 -0.00 	 -0.27 	 -0.27 
( 4,  2) 	 -0.00 	 -0.00 	 -0.27 	 -0.00 
( 4,  3) 	 -0.00 	 -0.00 	 -0.27 	 -0.00 
( 4,  4) 	 -0.00 	 -0.00 	 -0.27 	 -0.00 
( 4,  5) 	 -0.00 	 -0.81 	 -0.55 	 -0.00 
( 4,  6) 	 -0.00 	 -6.81 	 -1.36 	 -0.00 
( 4,  7) 	 -0.00 	 -0.82 	 -1.36 	 -0.00 
( 4,  8) 	 -0.00 	 -2.18 	 -0.82 	 -0.00 
( 4,  9) 	 -0.27 	 -7.36 	 -0.00 	 -0.00 
( 5,  0) 	 -0.00 	 -0.00 	 -2.27 	 -0.27 
( 5,  1) 	 -0.00 	 -0.00 	 -2.54 	 -0.00 
( 5,  2) 	 -0.00 	 -0.00 	 -2.54 	 -0.00 
( 5,  3) 	 -0.00 	 -0.00 	 -2.54 	 -0.00 
( 5,  4) 	 -0.00 	 -0.00 	 -2.54 	 -0.00 
( 5,  5) 	 -0.00 	 -0.82 	 -2.55 	 -0.00 
( 5,  6) 	 -0.00 	 -7.63 	 -3.09 	 -0.00 
( 5,  7) 	 -0.00 	 -0.82 	 -3.63 	 -0.00 
( 5,  8) 	 -0.00 	 -1.36 	 -6.27 	 -0.00 
( 5,  9) 	 -0.00 	 -6.81 	 -0.81 	 -0.00 
( 6,  0) 	 -0.00 	 -0.00 	 -0.27 	 -0.00 
( 6,  1) 	 -0.00 	 -0.00 	 -0.27 	 -0.00 
( 6,  2) 	 -0.00 	 -0.00 	 -0.27 	 -0.00 
( 6,  3) 	 -0.00 	 -0.00 	 -0.54 	 -0.00 
( 6,  4) 	 -0.00 	 -0.00 	 -0.55 	 -0.00 
( 6,  5) 	 -0.00 	 -0.82 	 -2.17 	 -0.00 
( 6,  6) 	 -0.00 	 -8.17 	 -4.82 	 -0.00 
( 6,  7) 	 -0.00 	 -1.36 	 -4.81 	 -0.00 
( 6,  8) 	 -0.00 	 -4.00 	 -1.36 	 -0.00 
( 6,  9) 	 -0.00 	 -1.36 	 -0.00 	 -0.00 
( 7,  0) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 7,  1) 	 -0.00 	 -0.00 	 -0.54 	 -0.00 
( 7,  2) 	 -0.00 	 -0.00 	 -0.81 	 -0.00 
( 7,  3) 	 -0.00 	 -0.27 	 -2.28 	 -0.27 
( 7,  4) 	 -0.00 	 -0.00 	 -3.63 	 -0.00 
( 7,  5) 	 -0.00 	 -1.63 	 -10.27 	 -0.00 
( 7,  6) 	 -0.00 	 -10.81 	 -1.90 	 -0.00 
( 7,  7) 	 -0.00 	 -1.36 	 -0.55 	 -0.00 
( 7,  8) 	 -0.00 	 -0.54 	 -0.00 	 -0.00 
( 7,  9) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 8,  0) 	 -0.00 	 -0.00 	 -0.54 	 -0.00 
( 8,  1) 	 -0.00 	 -0.00 	 -4.54 	 -0.00 
( 8,  2) 	 -0.00 	 -0.27 	 -4.54 	 -0.27 
( 8,  3) 	 -0.00 	 -2.00 	 -1.09 	 -2.00 
( 8,  4) 	 -0.00 	 -0.54 	 -0.55 	 -0.27 
( 8,  5) 	 -0.00 	 -2.27 	 -1.35 	 -0.00 
( 8,  6) 	 -0.00 	 -1.63 	 -0.00 	 -0.00 
( 8,  7) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 8,  8) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 8,  9) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 9,  0) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 9,  1) 	 -0.00 	 -0.00 	 -0.54 	 -0.00 
( 9,  2) 	 -0.00 	 -0.00 	 -0.81 	 -0.00 
