State 	 Left 	 Up 	 Right 	 Down 
( 0,  0) 	 0.000000 	 0.267305 	 0.000000 	 7.596413 
( 0,  1) 	 1.070922 	 0.000000 	 0.000000 	 0.000000 
( 0,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  4) 	 0.000000 	 0.000000 	 8.562913 	 4.232477 
( 0,  5) 	 0.000000 	 0.000000 	 9.536084 	 4.668026 
( 0,  6) 	 0.000000 	 0.000000 	 10.315431 	 5.005459 
( 0,  7) 	 2.380982 	 0.000000 	 10.901350 	 5.564481 
( 0,  8) 	 0.000000 	 0.000000 	 0.000000 	 13.840107 
( 0,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  0) 	 0.000000 	 0.000000 	 5.943613 	 2.853886 
( 1,  1) 	 0.000000 	 0.000000 	 6.636909 	 2.958863 
( 1,  2) 	 0.000000 	 0.000000 	 7.105311 	 3.229461 
( 1,  3) 	 0.000000 	 0.000000 	 7.353923 	 3.528659 
( 1,  4) 	 0.000000 	 7.655745 	 0.000000 	 3.861247 
( 1,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  9) 	 4.878232 	 0.000000 	 -0.499966 	 0.000000 
( 2,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  8) 	 5.891765 	 12.026838 	 9.190526 	 0.000000 
( 2,  9) 	 0.000000 	 0.135369 	 0.000000 	 0.000000 
( 3,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  3) 	 0.000000 	 0.000000 	 1.000067 	 0.000000 
( 3,  4) 	 0.000000 	 0.000000 	 1.229419 	 0.000000 
( 3,  5) 	 0.000000 	 0.000000 	 8.718429 	 0.000000 
( 3,  6) 	 4.740404 	 0.000000 	 15.045609 	 0.000000 
( 3,  7) 	 6.497942 	 0.000000 	 15.712357 	 0.000000 
( 3,  8) 	 5.537654 	 11.025391 	 9.735307 	 0.000000 
( 3,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  0) 	 0.000000 	 0.000000 	 0.878198 	 0.000000 
( 4,  1) 	 0.000000 	 0.000000 	 1.135335 	 0.000000 
( 4,  2) 	 0.000000 	 0.000000 	 1.135369 	 0.000000 
( 4,  3) 	 0.000000 	 0.999396 	 0.000000 	 0.000000 
( 4,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  5) 	 0.000000 	 0.000000 	 3.598406 	 0.000000 
( 4,  6) 	 4.436493 	 8.796153 	 4.195265 	 0.000000 
( 4,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  9) 	 0.000000 	 0.000000 	 -0.499966 	 -0.000000 
( 5,  0) 	 0.000000 	 1.013567 	 0.000000 	 0.000000 
( 5,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 5,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 5,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 5,  4) 	 3.522667 	 1.741798 	 7.034313 	 0.000000 
( 5,  5) 	 3.793503 	 0.000000 	 7.860936 	 0.000000 
( 5,  6) 	 4.072673 	 8.397517 	 4.343978 	 2.232323 
( 5,  7) 	 2.673420 	 0.000000 	 0.000000 	 -0.000151 
( 5,  8) 	 -0.183569 	 -0.499329 	 -0.267705 	 -0.093482 
( 5,  9) 	 -0.082841 	 -0.405275 	 -0.757387 	 -0.492239 
( 6,  0) 	 0.000000 	 1.135671 	 0.000000 	 0.000000 
( 6,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  4) 	 3.241429 	 7.214085 	 0.000000 	 0.000000 
( 6,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  6) 	 0.000000 	 7.546464 	 0.136342 	 0.000000 
( 6,  7) 	 0.000000 	 0.000000 	 -0.000005 	 0.000000 
( 6,  8) 	 -0.000547 	 -0.118978 	 0.000138 	 -0.000287 
( 6,  9) 	 0.000072 	 -0.227371 	 -0.500000 	 -0.021010 
( 7,  0) 	 0.000000 	 1.135335 	 0.000000 	 0.000000 
( 7,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 7,  2) 	 0.000000 	 0.000000 	 5.788628 	 0.000000 
( 7,  3) 	 0.000000 	 0.000000 	 6.222618 	 0.000000 
( 7,  4) 	 3.002643 	 6.695473 	 0.000000 	 0.000000 
( 7,  5) 	 2.648498 	 -0.980494 	 6.054365 	 0.000000 
( 7,  6) 	 0.000000 	 6.802237 	 0.000000 	 0.000000 
( 7,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 7,  8) 	 0.000000 	 0.000469 	 0.000000 	 0.000000 
( 7,  9) 	 0.000000 	 -0.025938 	 0.000000 	 0.000000 
( 8,  0) 	 0.000000 	 0.878534 	 1.989919 	 0.000000 
( 8,  1) 	 2.312761 	 0.000000 	 4.975661 	 0.000000 
( 8,  2) 	 0.000000 	 5.127201 	 0.000000 	 0.000000 
( 8,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 8,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 8,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 8,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 8,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 8,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 8,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 9,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 9,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 9,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 9,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 9,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 9,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 9,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 9,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 9,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 9,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
