State 	 Left 	 Up 	 Right 	 Down 
( 0,  0) 	 -0.00 	 -0.00 	 -2.54 	 -4.81 
( 0,  1) 	 -0.00 	 -0.00 	 -1.09 	 -2.54 
( 0,  2) 	 -0.00 	 -0.00 	 -0.82 	 -0.27 
( 0,  3) 	 -0.00 	 -0.00 	 -0.55 	 -0.27 
( 0,  4) 	 -0.00 	 -0.00 	 -0.81 	 -0.00 
( 0,  5) 	 -0.00 	 -0.27 	 -2.27 	 -0.27 
( 0,  6) 	 -0.00 	 -0.00 	 -2.81 	 -0.00 
( 0,  7) 	 -0.00 	 -0.27 	 -4.81 	 -0.54 
( 0,  8) 	 -0.00 	 -0.00 	 -0.54 	 -4.00 
( 0,  9) 	 -0.27 	 -0.00 	 -0.00 	 -0.54 
( 1,  0) 	 -0.00 	 -0.54 	 -5.08 	 -5.08 
( 1,  1) 	 -0.00 	 -0.00 	 -7.36 	 -0.82 
( 1,  2) 	 -0.00 	 -0.00 	 -7.36 	 -0.27 
( 1,  3) 	 -0.00 	 -0.00 	 -5.36 	 -2.27 
( 1,  4) 	 -0.00 	 -0.27 	 -4.55 	 -0.54 
( 1,  5) 	 -0.00 	 -2.00 	 -0.82 	 -2.27 
( 1,  6) 	 -0.00 	 -0.54 	 -0.82 	 -0.27 
( 1,  7) 	 -0.00 	 -2.82 	 -4.54 	 -0.00 
( 1,  8) 	 -0.27 	 -0.82 	 -0.54 	 -0.54 
( 1,  9) 	 -2.00 	 -0.27 	 -0.00 	 -0.00 
( 2,  0) 	 -0.00 	 -4.54 	 -0.55 	 -5.08 
( 2,  1) 	 -0.00 	 -0.54 	 -0.82 	 -0.55 
( 2,  2) 	 -0.00 	 -0.00 	 -0.82 	 -0.27 
( 2,  3) 	 -0.00 	 -0.00 	 -1.09 	 -2.27 
( 2,  4) 	 -0.00 	 -0.00 	 -1.09 	 -0.54 
( 2,  5) 	 -0.00 	 -0.27 	 -0.28 	 -2.81 
( 2,  6) 	 -0.00 	 -0.82 	 -1.09 	 -0.27 
( 2,  7) 	 -0.00 	 -7.63 	 -1.09 	 -0.00 
( 2,  8) 	 -0.27 	 -5.63 	 -0.00 	 -0.00 
( 2,  9) 	 -0.54 	 -2.82 	 -0.00 	 -0.00 
( 3,  0) 	 -0.27 	 -5.08 	 -0.54 	 -4.81 
( 3,  1) 	 -0.27 	 -0.54 	 -0.55 	 -0.54 
( 3,  2) 	 -0.27 	 -0.00 	 -1.09 	 -0.00 
( 3,  3) 	 -0.00 	 -0.27 	 -4.55 	 -0.54 
( 3,  4) 	 -0.00 	 -0.00 	 -4.82 	 -0.54 
( 3,  5) 	 -0.00 	 -0.00 	 -3.63 	 -4.81 
( 3,  6) 	 -0.00 	 -1.63 	 -8.81 	 -0.54 
( 3,  7) 	 -0.27 	 -7.36 	 -5.09 	 -0.00 
( 3,  8) 	 -2.27 	 -5.63 	 -0.54 	 -0.00 
( 3,  9) 	 -2.27 	 -3.36 	 -0.00 	 -0.00 
( 4,  0) 	 -2.27 	 -5.09 	 -4.54 	 -2.81 
( 4,  1) 	 -2.54 	 -0.55 	 -5.08 	 -0.27 
( 4,  2) 	 -2.27 	 -0.54 	 -4.54 	 -0.27 
( 4,  3) 	 -0.27 	 -2.00 	 -1.36 	 -2.27 
( 4,  4) 	 -0.27 	 -0.27 	 -0.82 	 -0.81 
( 4,  5) 	 -0.27 	 -0.81 	 -0.82 	 -4.54 
( 4,  6) 	 -0.00 	 -6.82 	 -1.36 	 -0.81 
( 4,  7) 	 -0.00 	 -1.63 	 -0.82 	 -0.00 
( 4,  8) 	 -0.27 	 -1.09 	 -0.27 	 -0.27 
( 4,  9) 	 -0.27 	 -4.81 	 -0.00 	 -0.00 
( 5,  0) 	 -0.27 	 -5.09 	 -0.54 	 -2.54 
( 5,  1) 	 -0.27 	 -0.82 	 -0.55 	 -0.27 
( 5,  2) 	 -0.27 	 -2.27 	 -0.81 	 -0.27 
( 5,  3) 	 -0.27 	 -0.54 	 -2.28 	 -2.54 
( 5,  4) 	 -2.27 	 -0.00 	 -2.81 	 -0.27 
( 5,  5) 	 -2.27 	 -0.82 	 -4.54 	 -0.81 
( 5,  6) 	 -0.27 	 -7.63 	 -2.82 	 -2.27 
( 5,  7) 	 -0.00 	 -0.82 	 -2.54 	 -0.54 
( 5,  8) 	 -0.00 	 -0.82 	 -2.27 	 -2.27 
( 5,  9) 	 -0.00 	 -4.81 	 -0.27 	 -0.27 
( 6,  0) 	 -0.00 	 -5.09 	 -0.27 	 -2.27 
( 6,  1) 	 -0.27 	 -0.82 	 -0.54 	 -0.27 
( 6,  2) 	 -0.27 	 -2.54 	 -0.28 	 -0.54 
( 6,  3) 	 -0.54 	 -0.27 	 -0.54 	 -2.54 
( 6,  4) 	 -0.82 	 -0.00 	 -0.54 	 -0.27 
( 6,  5) 	 -0.81 	 -0.82 	 -0.81 	 -0.27 
( 6,  6) 	 -0.00 	 -7.63 	 -0.27 	 -2.54 
( 6,  7) 	 -0.00 	 -1.09 	 -0.27 	 -0.54 
( 6,  8) 	 -0.00 	 -2.55 	 -0.27 	 -2.54 
( 6,  9) 	 -0.00 	 -3.09 	 -0.00 	 -0.27 
( 7,  0) 	 -0.27 	 -4.81 	 -2.54 	 -0.27 
( 7,  1) 	 -2.54 	 -1.09 	 -4.54 	 -0.27 
( 7,  2) 	 -2.81 	 -2.27 	 -3.08 	 -2.27 
( 7,  3) 	 -4.81 	 -0.27 	 -2.55 	 -3.08 
( 7,  4) 	 -5.08 	 -0.00 	 -2.54 	 -0.27 
( 7,  5) 	 -4.54 	 -0.82 	 -2.27 	 -0.27 
( 7,  6) 	 -0.54 	 -7.36 	 -0.54 	 -2.27 
( 7,  7) 	 -0.00 	 -1.09 	 -0.27 	 -0.54 
( 7,  8) 	 -0.00 	 -2.82 	 -0.00 	 -2.54 
( 7,  9) 	 -0.00 	 -2.82 	 -0.00 	 -0.27 
( 8,  0) 	 -0.27 	 -2.81 	 -0.27 	 -0.00 
( 8,  1) 	 -2.27 	 -2.27 	 -0.81 	 -0.00 
( 8,  2) 	 -0.54 	 -0.54 	 -2.27 	 -0.81 
( 8,  3) 	 -0.54 	 -0.00 	 -1.09 	 -4.27 
( 8,  4) 	 -0.54 	 -0.00 	 -0.82 	 -0.54 
( 8,  5) 	 -0.54 	 -0.54 	 -1.09 	 -0.00 
( 8,  6) 	 -0.00 	 -5.36 	 -2.54 	 -0.27 
( 8,  7) 	 -0.27 	 -0.82 	 -2.54 	 -0.27 
( 8,  8) 	 -0.27 	 -2.54 	 -0.54 	 -2.27 
( 8,  9) 	 -0.00 	 -2.81 	 -0.00 	 -0.27 
( 9,  0) 	 -0.00 	 -0.27 	 -0.00 	 -0.00 
( 9,  1) 	 -0.27 	 -0.27 	 -0.00 	 -0.00 
( 9,  2) 	 -0.00 	 -0.00 	 -0.81 	 -0.00 
( 9,  3) 	 -0.00 	 -0.00 	 -4.54 	 -0.54 
( 9,  4) 	 -0.00 	 -0.00 	 -5.08 	 -0.00 
( 9,  5) 	 -0.00 	 -0.54 	 -4.82 	 -0.00 
( 9,  6) 	 -0.27 	 -4.54 	 -3.09 	 -0.00 
( 9,  7) 	 -2.27 	 -0.54 	 -2.81 	 -0.00 
( 9,  8) 	 -2.27 	 -0.54 	 -2.27 	 -0.27 
( 9,  9) 	 -0.27 	 -2.27 	 -0.27 	 -0.00 
