State 	 Left 	 Up 	 Right 	 Down 
( 0,  0) 	 0.000000 	 0.000000 	 3.772091 	 0.000000 
( 0,  1) 	 -0.472419 	 0.000000 	 0.000000 	 4.102220 
( 0,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  3) 	 0.000000 	 0.000000 	 6.184751 	 0.000000 
( 0,  4) 	 0.000000 	 0.000000 	 7.986195 	 0.000000 
( 0,  5) 	 0.000000 	 0.000000 	 8.846684 	 0.000000 
( 0,  6) 	 0.000000 	 0.000000 	 9.866991 	 -1.132518 
( 0,  7) 	 0.000000 	 0.000000 	 10.857459 	 0.013232 
( 0,  8) 	 0.000000 	 0.000000 	 0.000000 	 15.447970 
( 0,  9) 	 10.342541 	 0.000000 	 0.000000 	 5.588483 
( 1,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  1) 	 0.000000 	 0.000000 	 4.716986 	 0.000000 
( 1,  2) 	 0.000000 	 0.000000 	 5.114515 	 0.000000 
( 1,  3) 	 0.000000 	 5.285111 	 0.000000 	 0.000000 
( 1,  4) 	 0.000000 	 2.230994 	 0.000000 	 0.000000 
( 1,  5) 	 1.685303 	 0.000000 	 -0.363994 	 -0.000302 
( 1,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  7) 	 2.164416 	 3.289775 	 0.000000 	 0.000000 
( 1,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  9) 	 0.000000 	 9.807986 	 0.000000 	 4.964909 
( 2,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  3) 	 -0.499457 	 0.000000 	 0.000671 	 0.000000 
( 2,  4) 	 0.000000 	 0.000000 	 -0.202062 	 0.355771 
( 2,  5) 	 -0.328235 	 -0.000151 	 -0.499886 	 0.000249 
( 2,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  7) 	 0.000000 	 0.000000 	 9.268353 	 3.674433 
( 2,  8) 	 -0.510737 	 5.136040 	 0.000000 	 10.438505 
( 2,  9) 	 2.503682 	 9.343434 	 2.366605 	 4.762660 
( 3,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  3) 	 0.000000 	 0.000000 	 1.203240 	 0.000000 
( 3,  4) 	 0.000000 	 0.452316 	 0.979254 	 -0.500000 
( 3,  5) 	 -0.655068 	 0.000313 	 2.505178 	 -0.515107 
