State 	 Left 	 Up 	 Right 	 Down 
( 0,  0) 	 -0.00 	 -0.00 	 -0.27 	 -6.54 
( 0,  1) 	 -0.00 	 -0.00 	 -0.27 	 -1.08 
( 0,  2) 	 -0.00 	 -0.00 	 -0.27 	 -0.27 
( 0,  3) 	 -0.00 	 -0.00 	 -0.00 	 -0.54 
( 0,  4) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 0,  5) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 0,  6) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 0,  7) 	 -0.00 	 -0.27 	 -0.54 	 -0.27 
( 0,  8) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 0,  9) 	 -0.54 	 -0.27 	 -0.00 	 -0.00 
( 1,  0) 	 -0.00 	 -0.00 	 -2.27 	 -5.35 
( 1,  1) 	 -0.00 	 -0.00 	 -2.54 	 -2.82 
( 1,  2) 	 -0.00 	 -0.00 	 -2.27 	 -2.81 
( 1,  3) 	 -0.00 	 -0.00 	 -0.27 	 -4.81 
( 1,  4) 	 -0.00 	 -0.00 	 -0.00 	 -0.54 
( 1,  5) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 1,  6) 	 -0.00 	 -0.27 	 -0.54 	 -0.27 
( 1,  7) 	 -0.00 	 -2.54 	 -4.27 	 -2.27 
( 1,  8) 	 -0.54 	 -1.09 	 -0.81 	 -0.27 
( 1,  9) 	 -4.00 	 -2.82 	 -0.00 	 -0.00 
( 2,  0) 	 -0.00 	 -0.00 	 -0.27 	 -2.82 
( 2,  1) 	 -0.00 	 -0.00 	 -0.27 	 -0.55 
( 2,  2) 	 -0.00 	 -0.00 	 -0.27 	 -0.82 
( 2,  3) 	 -0.00 	 -0.00 	 -0.27 	 -4.81 
( 2,  4) 	 -0.00 	 -0.00 	 -0.27 	 -0.81 
( 2,  5) 	 -0.00 	 -0.00 	 -0.27 	 -0.27 
( 2,  6) 	 -0.00 	 -0.82 	 -1.09 	 -0.54 
( 2,  7) 	 -0.00 	 -5.36 	 -3.36 	 -2.54 
( 2,  8) 	 -0.00 	 -6.17 	 -2.27 	 -0.27 
( 2,  9) 	 -1.08 	 -7.36 	 -0.27 	 -0.00 
( 3,  0) 	 -0.00 	 -0.00 	 -0.00 	 -2.54 
( 3,  1) 	 -0.00 	 -0.00 	 -0.00 	 -0.27 
( 3,  2) 	 -0.00 	 -0.00 	 -0.27 	 -0.27 
( 3,  3) 	 -0.00 	 -0.00 	 -2.27 	 -2.81 
( 3,  4) 	 -0.00 	 -0.00 	 -2.54 	 -2.54 
( 3,  5) 	 -0.00 	 -0.27 	 -3.09 	 -2.54 
( 3,  6) 	 -0.00 	 -3.09 	 -7.09 	 -2.54 
( 3,  7) 	 -0.00 	 -5.63 	 -5.09 	 -2.54 
( 3,  8) 	 -0.54 	 -7.63 	 -0.82 	 -0.27 
( 3,  9) 	 -4.00 	 -6.71 	 -0.00 	 -0.00 
( 4,  0) 	 -0.00 	 -0.00 	 -0.00 	 -2.54 
( 4,  1) 	 -0.00 	 -0.00 	 -0.00 	 -0.27 
( 4,  2) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 4,  3) 	 -0.00 	 -0.00 	 -0.81 	 -0.27 
( 4,  4) 	 -0.00 	 -0.00 	 -0.82 	 -0.27 
( 4,  5) 	 -0.00 	 -0.54 	 -1.09 	 -0.27 
( 4,  6) 	 -0.00 	 -4.81 	 -3.36 	 -0.27 
( 4,  7) 	 -0.00 	 -1.09 	 -1.63 	 -0.27 
( 4,  8) 	 -0.00 	 -1.90 	 -0.82 	 -0.27 
( 4,  9) 	 -0.54 	 -9.63 	 -0.00 	 -0.00 
( 5,  0) 	 -0.00 	 -0.00 	 -0.00 	 -2.54 
( 5,  1) 	 -0.00 	 -0.00 	 -0.00 	 -0.27 
( 5,  2) 	 -0.00 	 -0.00 	 -1.09 	 -0.00 
