State 	 Left 	 Up 	 Right 	 Down 
( 0,  0) 	 0.000000 	 -1.493897 	 6.932808 	 1.135335 
( 0,  1) 	 0.000000 	 0.000000 	 0.000000 	 7.944977 
( 0,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  5) 	 0.000000 	 0.000000 	 11.476077 	 0.000000 
( 0,  6) 	 3.098548 	 0.000000 	 11.799315 	 0.000000 
( 0,  7) 	 0.000000 	 3.397980 	 11.137515 	 0.000000 
( 0,  8) 	 0.000000 	 0.000000 	 0.014540 	 11.876688 
( 0,  9) 	 0.000000 	 0.000000 	 0.000000 	 4.552532 
( 1,  0) 	 0.000000 	 0.000000 	 0.000000 	 1.013567 
( 1,  1) 	 0.000000 	 0.000000 	 8.863334 	 0.000000 
( 1,  2) 	 0.000000 	 0.000000 	 7.975661 	 2.018153 
( 1,  3) 	 0.000000 	 0.000000 	 8.629319 	 0.000000 
( 1,  4) 	 1.380501 	 0.000000 	 9.274368 	 0.000000 
( 1,  5) 	 0.000000 	 9.570736 	 -2.386433 	 0.000000 
( 1,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  9) 	 11.786194 	 0.000000 	 10.217224 	 0.000000 
( 2,  0) 	 0.000000 	 0.000000 	 0.000000 	 1.135671 
( 2,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  5) 	 0.000000 	 -0.369476 	 0.000000 	 0.000000 
( 2,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  7) 	 1.916643 	 0.000000 	 0.000000 	 2.983883 
( 2,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  9) 	 0.000000 	 11.097228 	 9.855554 	 1.719531 
( 3,  0) 	 0.000000 	 0.000000 	 0.000000 	 1.135671 
( 3,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  6) 	 0.000000 	 0.000000 	 15.398739 	 0.000000 
( 3,  7) 	 0.000000 	 0.000369 	 16.101152 	 0.000000 
( 3,  8) 	 0.000000 	 0.000000 	 16.339960 	 0.000000 
( 3,  9) 	 0.000000 	 10.207530 	 9.066508 	 0.000000 
( 4,  0) 	 0.000000 	 0.000000 	 0.878198 	 0.000000 
( 4,  1) 	 0.000000 	 0.000000 	 1.135335 	 0.000000 
( 4,  2) 	 0.000000 	 0.000000 	 1.136006 	 0.000000 
( 4,  3) 	 0.000000 	 0.000000 	 2.789051 	 0.000000 
( 4,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  6) 	 0.000000 	 7.606817 	 6.806144 	 0.000000 
( 4,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 5,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 5,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 5,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 5,  3) 	 0.000000 	 0.000000 	 10.158647 	 1.486807 
( 5,  4) 	 0.000000 	 0.000000 	 10.557307 	 0.000000 
( 5,  5) 	 1.458658 	 0.000000 	 10.581515 	 0.000000 
( 5,  6) 	 0.000000 	 7.326383 	 6.342361 	 0.000000 
( 5,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 5,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 5,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  3) 	 0.000000 	 6.118443 	 0.000000 	 0.000000 
( 6,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  6) 	 0.000000 	 5.743145 	 0.000000 	 0.000000 
( 6,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 7,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 7,  1) 	 0.000000 	 0.000000 	 0.000000 	 -0.516557 
( 7,  2) 	 -0.418411 	 0.000000 	 0.000000 	 0.000000 
( 7,  3) 	 0.000000 	 6.387999 	 0.000000 	 0.000000 
( 7,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
