State 	 Left 	 Up 	 Right 	 Down 
( 0,  0) 	 -0.00 	 -0.00 	 -2.82 	 -4.54 
( 0,  1) 	 -0.00 	 -0.00 	 -1.63 	 -2.54 
( 0,  2) 	 -0.00 	 -0.00 	 -1.36 	 -0.27 
( 0,  3) 	 -0.00 	 -0.27 	 -1.36 	 -0.82 
( 0,  4) 	 -0.27 	 -2.54 	 -4.82 	 -3.09 
( 0,  5) 	 -2.54 	 -0.81 	 -7.36 	 -4.82 
( 0,  6) 	 -4.81 	 -0.00 	 -7.90 	 -0.55 
( 0,  7) 	 -4.54 	 -0.81 	 -9.08 	 -0.81 
( 0,  8) 	 -0.54 	 -0.00 	 -3.08 	 -6.27 
( 0,  9) 	 -0.81 	 -0.00 	 -0.27 	 -3.08 
( 1,  0) 	 -0.00 	 -0.54 	 -7.63 	 -2.81 
( 1,  1) 	 -0.00 	 -0.27 	 -12.17 	 -0.54 
( 1,  2) 	 -0.00 	 -0.00 	 -12.17 	 -0.55 
( 1,  3) 	 -0.00 	 -0.54 	 -7.90 	 -5.09 
( 1,  4) 	 -0.00 	 -4.81 	 -1.90 	 -5.90 
( 1,  5) 	 -0.27 	 -5.09 	 -0.82 	 -5.90 
( 1,  6) 	 -0.54 	 -1.36 	 -0.82 	 -0.55 
( 1,  7) 	 -0.54 	 -6.82 	 -1.09 	 -0.00 
( 1,  8) 	 -0.81 	 -1.09 	 -0.28 	 -1.08 
( 1,  9) 	 -6.00 	 -0.82 	 -0.00 	 -2.54 
( 2,  0) 	 -0.00 	 -4.81 	 -0.82 	 -2.54 
( 2,  1) 	 -0.00 	 -2.81 	 -1.36 	 -0.27 
( 2,  2) 	 -0.00 	 -0.27 	 -1.90 	 -0.55 
( 2,  3) 	 -0.00 	 -0.55 	 -5.36 	 -5.63 
( 2,  4) 	 -0.00 	 -1.09 	 -5.09 	 -5.90 
( 2,  5) 	 -0.00 	 -4.82 	 -1.63 	 -7.36 
( 2,  6) 	 -0.27 	 -1.36 	 -1.36 	 -0.82 
( 2,  7) 	 -0.00 	 -7.90 	 -0.82 	 -0.00 
( 2,  8) 	 -0.27 	 -3.90 	 -0.81 	 -0.27 
( 2,  9) 	 -1.35 	 -7.09 	 -0.00 	 -2.54 
( 3,  0) 	 -0.00 	 -5.36 	 -0.00 	 -2.54 
( 3,  1) 	 -0.00 	 -3.09 	 -0.00 	 -0.27 
( 3,  2) 	 -0.00 	 -0.82 	 -0.01 	 -0.55 
( 3,  3) 	 -0.00 	 -4.54 	 -1.09 	 -5.09 
( 3,  4) 	 -0.00 	 -0.82 	 -5.63 	 -1.36 
( 3,  5) 	 -0.27 	 -2.55 	 -9.90 	 -3.09 
( 3,  6) 	 -2.00 	 -1.63 	 -11.90 	 -0.27 
( 3,  7) 	 -0.54 	 -7.09 	 -8.17 	 -0.00 
( 3,  8) 	 -2.54 	 -3.90 	 -6.82 	 -0.27 
( 3,  9) 	 -4.27 	 -7.63 	 -0.81 	 -2.54 
( 4,  0) 	 -0.00 	 -5.36 	 -0.27 	 -2.54 
( 4,  1) 	 -0.00 	 -3.09 	 -0.27 	 -0.27 
( 4,  2) 	 -0.27 	 -0.82 	 -0.27 	 -0.82 
( 4,  3) 	 -0.54 	 -5.08 	 -0.27 	 -4.82 
( 4,  4) 	 -0.54 	 -0.55 	 -0.55 	 -1.09 
( 4,  5) 	 -0.27 	 -0.82 	 -1.36 	 -2.28 
( 4,  6) 	 -0.54 	 -4.55 	 -1.36 	 -0.54 
( 4,  7) 	 -0.27 	 -1.36 	 -0.82 	 -0.00 
( 4,  8) 	 -0.54 	 -0.82 	 -0.81 	 -0.27 
( 4,  9) 	 -0.54 	 -5.36 	 -0.27 	 -2.54 
( 5,  0) 	 -0.00 	 -5.63 	 -2.27 	 -2.54 
( 5,  1) 	 -0.27 	 -2.82 	 -2.54 	 -0.54 
( 5,  2) 	 -2.54 	 -0.82 	 -2.54 	 -2.55 
( 5,  3) 	 -4.81 	 -4.82 	 -2.27 	 -3.63 
( 5,  4) 	 -5.08 	 -0.82 	 -0.54 	 -2.28 
( 5,  5) 	 -2.82 	 -0.55 	 -2.00 	 -0.82 
( 5,  6) 	 -2.82 	 -5.08 	 -0.27 	 -2.54 
( 5,  7) 	 -3.09 	 -0.55 	 -0.00 	 -0.27 
( 5,  8) 	 -2.82 	 -0.82 	 -0.27 	 -0.27 
( 5,  9) 	 -1.09 	 -5.09 	 -2.00 	 -2.27 
( 6,  0) 	 -0.00 	 -7.36 	 -0.27 	 -2.54 
( 6,  1) 	 -0.27 	 -1.09 	 -0.27 	 -0.82 
( 6,  2) 	 -0.55 	 -0.28 	 -0.54 	 -3.09 
( 6,  3) 	 -1.09 	 -3.08 	 -0.27 	 -4.82 
( 6,  4) 	 -2.55 	 -2.54 	 -0.00 	 -0.82 
( 6,  5) 	 -1.09 	 -0.82 	 -0.27 	 -1.09 
( 6,  6) 	 -2.82 	 -4.82 	 -0.00 	 -4.81 
( 6,  7) 	 -5.09 	 -0.82 	 -0.00 	 -0.54 
( 6,  8) 	 -5.63 	 -2.55 	 -0.00 	 -0.00 
( 6,  9) 	 -6.54 	 -5.90 	 -0.27 	 -0.27 
( 7,  0) 	 -0.27 	 -7.36 	 -0.27 	 -2.81 
( 7,  1) 	 -2.81 	 -1.09 	 -1.08 	 -2.82 
( 7,  2) 	 -3.09 	 -0.55 	 -2.00 	 -3.09 
( 7,  3) 	 -2.28 	 -2.54 	 -0.27 	 -3.09 
