State 	 Left 	 Up 	 Right 	 Down 
( 0,  0) 	 -0.00 	 -0.00 	 -2.27 	 -4.54 
( 0,  1) 	 -0.00 	 -0.00 	 -0.81 	 -2.81 
( 0,  2) 	 -0.00 	 -0.00 	 -0.55 	 -0.27 
( 0,  3) 	 -0.00 	 -0.00 	 -1.63 	 -0.27 
( 0,  4) 	 -0.00 	 -1.08 	 -6.82 	 -2.54 
( 0,  5) 	 -0.00 	 -0.27 	 -7.63 	 -2.54 
( 0,  6) 	 -0.00 	 -0.00 	 -7.36 	 -0.81 
( 0,  7) 	 -0.27 	 -0.00 	 -5.90 	 -4.54 
( 0,  8) 	 -2.27 	 -0.00 	 -0.55 	 -4.54 
( 0,  9) 	 -2.54 	 -0.27 	 -0.00 	 -0.54 
( 1,  0) 	 -0.00 	 -0.00 	 -2.81 	 -3.08 
( 1,  1) 	 -0.00 	 -0.27 	 -4.81 	 -2.81 
( 1,  2) 	 -0.00 	 -0.00 	 -5.35 	 -0.27 
( 1,  3) 	 -0.00 	 -1.36 	 -6.55 	 -0.27 
( 1,  4) 	 -0.00 	 -8.54 	 -1.90 	 -2.81 
( 1,  5) 	 -0.00 	 -3.35 	 -0.82 	 -3.08 
( 1,  6) 	 -0.00 	 -0.28 	 -1.90 	 -0.27 
( 1,  7) 	 -0.00 	 -0.54 	 -8.55 	 -0.54 
( 1,  8) 	 -0.54 	 -0.54 	 -1.08 	 -0.54 
( 1,  9) 	 -2.27 	 -2.54 	 -0.00 	 -0.00 
( 2,  0) 	 -0.00 	 -0.27 	 -0.27 	 -2.81 
( 2,  1) 	 -0.00 	 -2.27 	 -0.54 	 -2.81 
( 2,  2) 	 -0.00 	 -0.54 	 -0.55 	 -0.27 
( 2,  3) 	 -0.00 	 -2.55 	 -1.63 	 -0.27 
( 2,  4) 	 -0.00 	 -4.17 	 -2.28 	 -2.81 
( 2,  5) 	 -0.00 	 -2.82 	 -1.09 	 -4.81 
( 2,  6) 	 -0.00 	 -0.82 	 -1.09 	 -0.54 
( 2,  7) 	 -0.00 	 -4.81 	 -1.90 	 -0.00 
( 2,  8) 	 -0.27 	 -3.36 	 -0.28 	 -0.00 
( 2,  9) 	 -0.27 	 -5.09 	 -0.27 	 -0.00 
( 3,  0) 	 -0.00 	 -0.27 	 -0.27 	 -2.54 
( 3,  1) 	 -0.00 	 -2.54 	 -0.55 	 -2.54 
( 3,  2) 	 -0.27 	 -1.09 	 -1.36 	 -0.27 
( 3,  3) 	 -0.00 	 -3.63 	 -4.55 	 -0.00 
( 3,  4) 	 -0.00 	 -4.82 	 -3.63 	 -0.54 
( 3,  5) 	 -0.00 	 -3.36 	 -7.63 	 -2.54 
( 3,  6) 	 -0.27 	 -1.09 	 -9.63 	 -0.27 
( 3,  7) 	 -0.27 	 -4.82 	 -7.36 	 -0.00 
( 3,  8) 	 -2.00 	 -3.36 	 -3.09 	 -0.00 
( 3,  9) 	 -0.27 	 -5.09 	 -2.27 	 -0.00 
( 4,  0) 	 -0.00 	 -0.27 	 -2.54 	 -0.27 
( 4,  1) 	 -0.27 	 -2.82 	 -5.08 	 -0.27 
( 4,  2) 	 -2.00 	 -5.63 	 -6.81 	 -0.00 
( 4,  3) 	 -0.27 	 -6.82 	 -3.36 	 -0.00 
( 4,  4) 	 -0.00 	 -1.90 	 -0.82 	 -0.00 
( 4,  5) 	 -0.27 	 -4.82 	 -2.82 	 -0.27 
( 4,  6) 	 -2.27 	 -2.82 	 -1.36 	 -0.00 
( 4,  7) 	 -0.27 	 -0.82 	 -0.82 	 -0.00 
( 4,  8) 	 -0.27 	 -0.55 	 -0.27 	 -0.00 
( 4,  9) 	 -0.00 	 -2.81 	 -0.27 	 -0.00 
( 5,  0) 	 -0.00 	 -0.00 	 -0.27 	 -0.00 
( 5,  1) 	 -0.00 	 -0.82 	 -0.54 	 -0.00 
( 5,  2) 	 -0.27 	 -5.09 	 -0.81 	 -0.00 
( 5,  3) 	 -0.00 	 -1.36 	 -0.27 	 -0.00 
( 5,  4) 	 -0.00 	 -0.28 	 -0.00 	 -0.00 
( 5,  5) 	 -0.27 	 -2.81 	 -0.28 	 -0.00 
( 5,  6) 	 -2.27 	 -3.09 	 -0.55 	 -0.00 
( 5,  7) 	 -0.54 	 -0.28 	 -0.27 	 -0.00 
( 5,  8) 	 -0.00 	 -0.27 	 -0.27 	 -0.00 
( 5,  9) 	 -0.00 	 -2.54 	 -0.00 	 -0.00 
( 6,  0) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 6,  1) 	 -0.00 	 -0.55 	 -0.27 	 -0.00 
( 6,  2) 	 -0.00 	 -5.08 	 -0.00 	 -0.00 
( 6,  3) 	 -0.00 	 -0.55 	 -0.00 	 -0.00 
( 6,  4) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 6,  5) 	 -0.00 	 -0.82 	 -1.63 	 -0.00 
( 6,  6) 	 -0.81 	 -5.08 	 -4.27 	 -0.00 
( 6,  7) 	 -2.00 	 -0.54 	 -2.81 	 -0.00 
( 6,  8) 	 -0.27 	 -0.27 	 -2.27 	 -0.00 
( 6,  9) 	 -0.00 	 -2.27 	 -0.27 	 -0.00 
( 7,  0) 	 -0.00 	 -0.00 	 -0.27 	 -0.00 
( 7,  1) 	 -0.00 	 -0.81 	 -2.27 	 -0.27 
( 7,  2) 	 -0.00 	 -4.81 	 -0.27 	 -0.00 
( 7,  3) 	 -0.00 	 -0.54 	 -0.00 	 -0.00 
( 7,  4) 	 -0.00 	 -0.00 	 -1.08 	 -0.00 
( 7,  5) 	 -0.27 	 -0.81 	 -8.00 	 -0.00 
( 7,  6) 	 -2.00 	 -6.54 	 -1.62 	 -0.00 
( 7,  7) 	 -0.54 	 -0.81 	 -0.28 	 -0.00 
( 7,  8) 	 -0.00 	 -0.00 	 -0.27 	 -0.00 
( 7,  9) 	 -0.00 	 -0.27 	 -0.00 	 -0.00 
( 8,  0) 	 -0.00 	 -0.27 	 -0.27 	 -0.27 
( 8,  1) 	 -0.00 	 -2.54 	 -2.27 	 -2.00 
( 8,  2) 	 -0.00 	 -2.81 	 -0.27 	 -0.27 
( 8,  3) 	 -0.00 	 -0.27 	 -0.00 	 -0.00 
( 8,  4) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 8,  5) 	 -0.00 	 -0.00 	 -1.08 	 -0.00 
( 8,  6) 	 -0.27 	 -0.81 	 -0.00 	 -0.00 
( 8,  7) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 8,  8) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 8,  9) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 9,  0) 	 -0.00 	 -0.27 	 -0.00 	 -0.00 
( 9,  1) 	 -0.00 	 -2.27 	 -0.27 	 -0.27 
( 9,  2) 	 -0.00 	 -0.54 	 -0.00 	 -0.00 
( 9,  3) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 9,  4) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 9,  5) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 9,  6) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
