State 	 Left 	 Up 	 Right 	 Down 
( 0,  0) 	 2.611669 	 0.000000 	 0.000000 	 5.587658 
( 0,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  0) 	 2.280815 	 0.000000 	 6.262370 	 0.000000 
( 1,  1) 	 2.653520 	 0.000000 	 6.953458 	 0.000000 
( 1,  2) 	 2.530257 	 0.000000 	 7.143403 	 0.000000 
( 1,  3) 	 2.768799 	 0.000000 	 0.135402 	 7.359318 
( 1,  4) 	 0.000000 	 0.000000 	 0.000000 	 -0.426997 
( 1,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  3) 	 4.118429 	 2.495598 	 0.000000 	 7.630215 
( 2,  4) 	 0.000000 	 -0.115998 	 0.000000 	 -0.552280 
( 2,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  8) 	 9.972866 	 17.152581 	 0.000335 	 3.866287 
( 2,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  3) 	 4.141088 	 3.374734 	 8.258863 	 0.000000 
( 3,  4) 	 3.976651 	 3.704323 	 9.124771 	 0.000000 
( 3,  5) 	 5.564358 	 4.819914 	 5.559897 	 2.689173 
( 3,  6) 	 7.686558 	 8.179573 	 8.377846 	 3.060141 
( 3,  7) 	 8.822046 	 8.976421 	 9.935678 	 0.000000 
( 3,  8) 	 9.577390 	 17.607906 	 1.763725 	 0.000000 
( 3,  9) 	 8.480299 	 5.240031 	 0.000000 	 0.000000 
( 4,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  3) 	 0.000000 	 8.245518 	 0.000000 	 0.000000 
( 4,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  5) 	 1.944986 	 0.000000 	 6.187424 	 0.000000 
( 4,  6) 	 5.399015 	 7.459992 	 0.000000 	 -0.034412 
( 4,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  9) 	 0.000000 	 4.707665 	 0.000000 	 0.000000 
( 5,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
