State 	 Left 	 Up 	 Right 	 Down 
( 0,  0) 	 0.00 	 0.00 	 0.00 	 5.25 
( 0,  1) 	 0.00 	 0.00 	 0.00 	 0.00 
( 0,  2) 	 0.00 	 0.00 	 0.00 	 0.00 
( 0,  3) 	 0.00 	 0.00 	 0.00 	 0.00 
( 0,  4) 	 0.00 	 0.00 	 0.00 	 0.00 
( 0,  5) 	 0.00 	 0.00 	 0.00 	 0.00 
( 0,  6) 	 0.00 	 0.00 	 0.00 	 0.00 
( 0,  7) 	 0.00 	 0.00 	 0.00 	 0.00 
( 0,  8) 	 0.00 	 0.00 	 0.00 	 0.00 
( 0,  9) 	 0.00 	 0.00 	 0.00 	 0.00 
( 1,  0) 	 0.00 	 0.00 	 1.49 	 3.75 
( 1,  1) 	 0.00 	 0.00 	 0.00 	 2.04 
( 1,  2) 	 0.00 	 0.00 	 0.00 	 0.00 
( 1,  3) 	 0.00 	 0.00 	 0.00 	 0.00 
( 1,  4) 	 0.00 	 0.00 	 0.00 	 0.00 
( 1,  5) 	 0.00 	 0.00 	 0.00 	 0.00 
( 1,  6) 	 0.00 	 0.00 	 0.00 	 0.00 
( 1,  7) 	 0.00 	 0.00 	 0.00 	 0.00 
( 1,  8) 	 0.00 	 0.00 	 0.00 	 0.00 
( 1,  9) 	 0.00 	 0.00 	 0.00 	 0.00 
( 2,  0) 	 0.00 	 0.00 	 0.00 	 3.90 
( 2,  1) 	 0.00 	 0.00 	 0.00 	 2.14 
( 2,  2) 	 0.00 	 0.00 	 0.00 	 0.00 
( 2,  3) 	 0.00 	 0.00 	 0.00 	 0.00 
( 2,  4) 	 0.00 	 0.00 	 0.00 	 0.00 
( 2,  5) 	 0.00 	 0.00 	 0.00 	 0.00 
( 2,  6) 	 0.00 	 0.00 	 0.00 	 0.00 
( 2,  7) 	 0.00 	 0.00 	 0.00 	 0.00 
( 2,  8) 	 0.00 	 0.00 	 0.00 	 0.00 
( 2,  9) 	 9.60 	 0.00 	 0.00 	 0.00 
( 3,  0) 	 0.00 	 0.00 	 0.00 	 3.73 
( 3,  1) 	 0.00 	 0.00 	 0.00 	 1.85 
( 3,  2) 	 0.00 	 0.00 	 0.00 	 0.00 
( 3,  3) 	 0.00 	 0.00 	 3.30 	 0.00 
( 3,  4) 	 0.00 	 0.00 	 3.75 	 0.00 
( 3,  5) 	 0.00 	 0.00 	 3.79 	 0.00 
reward: 3.41, next state: (3, 6)
----------------------------------------
( 3,  6) 	 0.00 	 0.00 	 1.82 	 0.00 
( 3,  7) 	 0.00 	 0.00 	 1.71 	 0.00 
( 3,  8) 	 0.00 	 9.60 	 0.00 	 0.00 
( 3,  9) 	 0.00 	 2.03 	 0.00 	 0.00 
( 4,  0) 	 0.00 	 0.00 	 1.60 	 2.03 
( 4,  1) 	 0.00 	 0.00 	 3.77 	 0.00 
